 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 विकल्पकं मनोविज्ञानं येन विकल्पकेन मनोविज्ञानेन प्रियरूपेषु रूपेषु संरज्यते । अप्रियरूपेषु रूपेषु व्यापद्यते [।	རྣམ་པར་རྟོག་པར་བྱེད་པ་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དེས་གཟུགས་ཀྱི་རང་བཞིན་སྡུག་གུ་དག་ལ་ནི་ཀུན་ཏུ་ཆགས་པར་བྱེད་། གཟུགས་ཀྱི་རང་བཞིན་མི་སྡུག་པ་དག་ལ་ནི་ཁོང་ཁྲོ་བར་བྱེད་པས་ན་དེས་དྲན་པ་དེ་ཉིད་ཀྱི་དབང་དུ་བྱས་ཏེ་།
 ] स भा (ता)मेवाधिपतिं कृत्वा तस्मादयोनिशो विकल्पात् संक्लेशसमुत्थापकात्तस्मात् संरक्षति । यथा संक्लेशो नोत्पद्यते ।	ཅི་ནས་ཀྱང་ཀུན་ནས་ཉོན་མོངས་པ་དེ་འབྱུང་བར་མི་འགྱུར་བར་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་ལས་། ཡིད་དེ་ཀུན་ཏུ་སྲུང་བར་བྱེད་དོ་༎
 एवं श्रोत्रं घ्राणं जिह्वां कायं मनः प्रतीत्य धर्माश्चोत्पद्यते मनोविज्ञानं ।	དེ་༄༢༦བ་བཞིན་དུ་རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་དང་ཆོས་རྣམས་ལ་བརྟེན་ནས་།
 तच्च मनोविज्ञानमस्यायोनिशेविकल्पसहगतं संक्लेशसमुत्थापकं ।	ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་སྐྱེ་སྟེ་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དེ་ལ་ཡང་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པ་དང་ལྡན་པ་། ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་ཡོད་དེ་།
 येन प्रियरूपेषु धर्मेषु संरज्यते ।	དེས་ཆོས་ཀྱི་རང་བཞིན་སྡུག་གུ་དག་ལ་ནི་ཀུན་ཏུ་ཆགས་པར་བྱེད་།
 अप्रियरूपेषु धर्मेषु व्यापद्यते ।	ཆོས་ཀྱི་རང་བཞིན་མི་སྡུག་པ་དག་ལ་ནི་ཁོང་ཁྲོ་བར་བྱེད་པས་ན་། དེས་དྲན་པ་དེ་ཉིད་ཀྱི་དབང་དུ་བྱས་ཏེ་།
 स तस्मादयोनिशोविकल्पात् संक्लेशसमुत्थापकात्तन्मानसं रक्षत्येवमस्य संक्लेशो नोत्पद्यते ।	ཇི་ནས་ཀྱང་ཀུན་ནས་ཉོན་མོངས་པ་དེ་འབྱུང་བར་མི་འགྱུར་བར་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པར་རྣམ་པར་རྟོག་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་དེ་ལས་ཡིད་དེ་ཀུན་ཏུ་སྲུང་བར་བྱེད་དེ་།
 एवं स्मृत्यारक्षितमानसोभवति ।	དེ་ལྟར་དྲན་པས་ཡིད་ཀུན་ཏུ་བསྲུངས་པ་ཡིན་ནོ་༎
 कथं समावस्थावचारको भवति । समावस्थोच्यते ।	ཇི་ལྟར་ན་གནས་སྐབས་མཉམ་པ་ལ་འཇིག་པར་བྱེད་པ་ཡིན་ཞེ་ན་།
 उपेक्षा कुशला वा, अव्याकृता वा [। ] स तस्मादयोनिशो विकल्पात् संक्लेशसमुत्थापकात् तन्मानसं रक्षित्वा कुशलायाम्वा उपेक्षायामव्याकृतायाम्वा अवचारयति ।	གནས་སྐབས་མཉམ་པ་ཞེས་བྱ་བ་ནི་དགེ་བའམ་ལུང་དུ་མ་བསྟན་པའི་བཏང་སྙོམས་ལ་བྱ་སྟེ་། དེ་ས་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་དེ་ལས་ཡིད་ཀུན་ཏུ་བསྲུངས་ནས་། དགེ་བའམ་། ལུང་དུ་མ་བསྟན་པའི་བཏང་སྙོམས་ལ་འཇིག་པར་བྱེད་པས་ན་།
 (श्भ्_स्ह्: ६७) तेनोच्यते समावस्थावचारकः ।	དེའི་ཕྱིར་གནས་སྐབས་མཉམ་པ་ལ་འཇོག་པར་བྱེད་པ་ཞེས་བྱ་སྟེ་།
 एवं समावस्थावचारको भवति ।	དེ་ལྟར་ན་གནས་སྐབས་མཉམ་པ་ལ་འཇོག་པར་བྱེད་པ་ཡིན་ནོ་༎
 कथं पुनस्तस्मादयोनिशो विकल्पसंक्लेशसमुत्थापकान् मानसं रक्षति । न निमित्तग्राही भवति । तेषु रूपेषु, शब्देषु, गन्धेषु,	ཇི་ལྟར་ན་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་དེ་ལས་ཡིད་ཀུན་ཏུ་སྲུང་བར་བྱེད་པ་ཡིན་ཞེ་ན་།
 रसेषु, स्प्रष्टव्येषु, धर्मेषु नानुव्यंजनग्राही भवति यतो [अ]धिकरणमस्य पापका अकुशला धर्माश्चित्तमनुस्रवेयुः ।	བཞི་གང་ཁོ་ན་ལས་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་རྣམ་པར་རྟོག་པ་ཟག་པར་འགྱུར་བའི་གཟུགས་དང་། སྒྲ་དང་། དྲི་དང་། རོ་དང་། རེག་བྱ་དེ་དག་ལ་མཚན་མར་མི་འཛིན་ཅིང་།
 स चेत् पुनः स्मृतिसंप्रमोषात् क्लेशप्रचुरतया वा विवर्जयतो [अ]पि निमित्तग्राहम(हो ऽ) नुव्यंजनग्राह[ः स]मुत्पद्यते एव ।	མངོན་རྟགས་སུ་མི་འཛིན་པ་དང་། གལ་ཏེ་མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པ་རྣམ་པར་སྤངས་སུ་ཟིན་ཀྱང་བརྗེད་ངས་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པ་མང་བས་།
 पापका अकुशलातो दुःगृहीतो (पापकादकुशलतो दुर्गृहीतो) भवति के (ये) धर्मा अनुसरन्त्येव । चित्तं तेषां सम्वराय प्रतिपद्यते ।	སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་ཟག་པར་འགྱུར་བ་དག་འབྱུང་བར་འགྱུར་ན་དེ་དག་བསྡམས་པའི་ཕྱིར་ཡང་སྒྲུབ་པར་བྱད་དེ་།
 आभ्यां द्वाभ्यामाकाराभ्यां तस्मात् संक्लेशसमुत्थापकादयोनिशोविकल्पात्तन्मानसं रक्षितं भवति ॥	རྣམ་པ་དེ་གཉིས་ཀྱིས་ཚུལ་བཞིན་མ་ཡིན་པར་རྣམ་པར་རྟོག་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་སློང་བར་བྱེད་པ་དེ་ལས་༄༢༧ཨ་༌་༎ ཡིད་དེ་ཀུན་ཏུ་སྲུང་བར་བྱེད་པ་ཡིན་ནོ་༎
 कथं च पुनस्तन्मानसमाभ्यामाकाराभ्यां सरंक्ष्य कुशलायाम्वा उपेक्षायामवधारयत्यव्या कृतायाम्वा [।	ཇི་ལྟར་ན་ཡིད་དེ་རྣམ་པ་གཉིས་ཀྱིས་ཀུན་ཏུ་བསྲུངས་ནས་དགེ་བའམ་། ལུང་དུ་མ་བསྟན་པའི་བཏང་སྙོམས་ལ་འཇོག་པར་བྱེད་པ་ཡིན་ཏེ་།
 ] द्वाभ्यामेवाकाराभ्यां [।	རྣམ་པ་གཉིས་ཁོ་ན་སྟེ་།
 ] कतमाभ्यां द्वाभ्यां [।	གཉིས་གང་ཞེ་ན་།
 ] यथाह रक्षति चक्षुरिन्द्रियं चक्षुरिन्द्रियेण सम्वरमापद्यते । यथा चक्षुरिन्द्रियं चक्षुरिन्द्रियेण सम्वरमापद्यते । मे (ए)वं श्रोत्रघ्राणजिह्वाकायां (यान्)	མིག་གི་དབང་པོ་ཡང་སྲུང་བར་བྱེད་ལ་༏་མིག་གི་དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་དང་། མིག་གི་དབང་པོས་ཇི་ལྟ་བ་དེ་བཞིན་དུ་རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱི་དབང་པོ་ཡང་སྲུང་བར་བྱེད་ལ་།
 , रक्षति मन इन्द्रियं मन इन्द्रियेण सम्वरमापद्यते ।	ཡིད་ཀྱི་དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་ཡིན་ནོ་ཞེས་གང་གསུངས་པ་སྟེ་།
 आभ्यां द्वाभ्योमाकाराभ्यां कुशलायाम्वा,	རྣམ་པ་དེ་གཉིས་ཀྱིས་ཡིད་དེ་དགེ་བའམ་།
 अव्याकृतायाम्वा उपेक्षायां तन्मानसमेव चारयति ॥	ལུང་དུ་མ་བསྟན་པའི་བཏང་སྙོམས་ལ་འཇོག་པར་བྱེད་པ་ཡིན་ནོ་༎
 (श्भ्_स्ह्: ६८) कथं चक्षुर्विज्ञेयेषु रूपेषु न निमित्तग्राही भवति ।	ཇི་ལྟར་ན་མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་མཚན་མར་མི་འཛིན་པ་ཡིན་ཞེ་ན་། 
 निमित्तग्राह उच्यते । यच्चक्षुर्विज्ञानगोचरो रूपे तस्य गोचरस्य ग्राही भवति । चक्षुर्विज्ञानेन [।	མཚན་མར་འཛིན་པ་ཞེས་བྱ་བ་ནི་མིག་གི་རྣམ་པར་ཤེས་པའི་སྤྱོད་ཡུལ་གྱི་གཟུགས་གང་ཡིན་པའི་སྤྱོད་ཡུལ་དེ་ལ་༏་མིག་གི་རྣམ་པར་ཤེས་པས་འཛིན་པར་བྱེད་པ་ཡིན་ཏེ་།
 ] एवं निमित्तग्राही भवति । यदुत चक्षुर्विज्ञेयेषु रूपेषु श्रोत्रघ्राणजिह् वाकायमनोविज्ञेयेषु रूपेषु अपरा जाति[र्] निमित्तं । स चेत् पुनस्तं गोचरं परिवर्जयति ।	དེ་ལྟ་བུའི་མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་མཚན་མར་འཛིན་པ་ཡིན་ནོ་༎ གལ་ཏེ་མིག་གི་རྣམ་པར་ཤེས་པའི་སྤྱོད་ཡུལ་དེ་། ཡོངས་སུ་སྤོང་བར་བྱེད་ན་།
 चक्षुर्विज्ञानस्यैवं न (च) न निमित्तग्राही [भ]वति ।	དེ་ནི་མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྤྱོད་ཡུལ་ལ་མཚན་མར་མི་འཛིན་པ་ཡིན་ནོ་༎ མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་ཇི་ལྟ་བ་བཞིན་དུ་།
 चक्षुर्विज्ञेयेषु रूपेष्वेवं श्रोत्र घ्राणजिह्वाकायमनोविज्ञेयेषु धर्मेषु [।]	རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ལ་། མཚན་མར་མི་འཛིན་པ་ཡང་དེ་བཞིན་ནོ་༎
 कथं नानुव्यंजनग्राहीभवति ।	ཇི་ལྟར་ན་མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་དང་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ཀྱི་བར་ལ་མངོན་རྟགས་སུ་མི་འཛིན་པ་ཞེས་བྱ་། 
 चक्षुर्विज्ञेयेषु रूपेषु [। ] अनुव्यंजनग्राह उच्यते ।	མངོན་རྟགས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ནི་མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་དེ་དག་ཉིད་ལ་།
 यस्तेष्वेवचक्षुर्विज्ञेयेषु रूपेषु चक्षुर्विज्ञानस्यैव समनन्तरसहोत्पन्नस्य विकल्पकस्य मनोविज्ञानस्य यो गोचरः संरागाय वा, संद्वेषाय,	མིག་གི་རྣམ་པར་ཤེས་པ་ཁོ་ནའི་རྗེས་ལ་མཇུག་ཐོགས་སུ་བྱུང་བ་རྣམ་པར་རྟོག་པར་བྱེད་པའི་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པར་ཀུན་ཏུ་ཆགས་པར་འགྱུར་བ་དང་། ཀུན་ཏུ་ཞེ་སྡང་བར་འགྱུར་བ་དང་། ཀུན་ཏུ་གཏི་མུག་པར་འགྱུར་བའི་སྤྱོད་ཡུལ་གང་ཡིན་པ་དེ་ལ་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པས་འཛིན་པར་བྱེད་པ་ཡིན་ཏེ་།
 वा संमोहाय वा तं गोचरं परिवर्जयति ।	སྤྱོད་༄༢༧བ་ཡུལ་དེ་ཡོངས་སུ་སྤོང་བར་བྱེད་ཅིང་།
 नोत्पादयति तदालम्बनं ।	དམིགས་པ་དེ་ལ་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དེ་སྐྱེད་པར་མི་བྱེད་ན་། དེ་ནི་འདི་ལྟ་སྟེ་།
 तन्मनोविज्ञानमेवं नानुव्यंजनग्राही भवति । यदुत चक्षुर्विज्ञेयेषु रूपेषु [।	མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་མངོན་རྟགས་སུ་མི་འཛིན་པ་ཡིན་ཏེ་།
 ] एवं श्रोत्रघ्राणजिह् वाकायमनोविज्ञेयेषु धर्मेषु अपरा जातिर्निमित्तग्राहस्यानुव्यंजनग्राहस्य च ।	རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ལ་ཡང་དེ་བཞིན་ནོ་༎ མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པའི་རྣམ་གྲངས་གཞན་ཡང་ཡོད་དོ་༎
 तत्र निमित्तग्राहो यच्चक्षुषा रुपाण्याभासगतानि तज्जं मनस्कारं संमुखीकृत्य पश्यति [। ] तत्रानुव्यंजनग्राहः ।	དེ་ལ་མཚན་མར་འཛིན་པ་ནི་མིག་གིས་གཟུགས་སྣང་བར་གྱུར་པ་རྣམ་པ་དེ་དང་འབྱུང་བ་ཡིད་ལ་བྱེད་པ་མངོན་སུམ་དུ་བྱས་ནས་མཐོང་བ་གང་ཡིན་པའོ་༎
 तान्येव रूपाणि चक्षुषा आभासगतानि तज्जं मनसिकारं संमुखीकृत्य पश्यति ।	དེ་ལ་མངོན་རྟགས་སུ་འཛིན་པ་ནི་མིག་གིས་གཟུགས་དེ་དག་ཉིད་སྣང་བར་མ་གྱུར་ཅིང་། དེ་དང་འབྱུང་བ་ཡིད་ལ་བྱེད་པ་མངོན་སུམ་དུ་བྱས་ནས་།
 अपितु परतो [अ]नुस्रवपूर्वकं (श्भ्_स्ह्: ६९) श्रृणोति ।	མཐོང་བ་མ་ཡིན་མོད་ཀྱི་འོན་ཀྱང་གཞན་ལས་རྗེས་སུ་མཉམ་པ་སྔོན་དུ་བཏང་ནས་།
 सन्त्येवं रूपाण्येवं रूपाणि चक्षुर्विज्ञेयानि रूपाणीति यानि तानि तदनुगतानि नामानि पदानि व्यंजनानि [यान्य]धिपतिं कृत्वा,	མིག་གི་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་འདི་ལྟ་བུ་དང་། འདི་ལྟ་བུ་དག་ཡོད་དོ་ཞེས་ཐོས་ཤིང་། དེ་དང་རྗེས་སུ་འབྲེལ་པའི་མིང་དང་ཚིག་དང་མངོན་རྟགས་གང་དང་གང་དག་ཡིན་པ་དེ་དང་དེ་དག་གི་དབང་དུ་བྱས་ཏེ་།
 यानि निश्रित्य प्रतिष्ठायायं पुरुषपुद्गलः यथाश्रुतानि चक्षुर्विज्ञेयानि रूपाणि विकल्पयत्ययमुच्यते । अनुव्यंजनग्राहः [।	དེ་དག་ལ་བརྟེན་ཅིང་དེ་དག་ལ་གནས་ནས་། སྐྱེས་བུ་གང་ཟག་དེ་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་ཇི་ལྟ་བ་ཐོས་པ་དག་ལ་རྣམ་པར་རྟོག་པར་བྱེད་པ་སྟེ་། དེ་ནི་མངོན་རྟགས་སུ་འཛིན་པ་ཞེས་བྱའོ་༎
 ] यथा चक्षुर्विज्ञेयेषु रूपेषु,	མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་ཇི་ལྟ་བ་བཞིན་དུ་།
 एवं श्रोत्रघ्राणजिह् वाकायमनोविज्ञेयेषु धर्मेषु वेदितव्यः ।	རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ལ་ཡང་དེ་བཞིན་དུ་རིག་པར་བྱའོ་༎
 स पुनरयं निमित्तग्राहो [अ]नुव्यंजनग्राहश्च अस्ति यन्निदानमस्य यदधिकरणं यदधिपतेयं अस्य पापका अकुशला धर्माश्चित्तमनुस्रवन्ति	མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པ་དེ་ཡང་། རྒྱུ་དེ་དང་། གཞི་དེ་དང་། དབང་དེས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་འགྱུར་བ་ཡང་ཡོད་དོ་༎ 
 अस्ति यच्च तन्निदानं च तदधिकरणं च तदधिपतेयं पापका अकुशला धर्मा श्चित्तमनुस्रवन्ति ।	རྒྱུ་དེ་མེད་པ་དང་། གཞི་དེ་མེད་པ་དང་། དབང་དེ་མེད་པས་།
 तत्र यो [अ]यं निमित्तग्राहो [अ]नुव्यंजनग्राहो अयोनिशोग्राहः यन्निदानं यदधिकरणं यदधिपतेयमस्य पापका अकुशला धर्माश्चित्तमनुस्रवन्ति	དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་མི་འགྱུར་བ་ཡང་ཡོད་དོ་༎ དེ་ལ་མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པ་གང་ཡིན་པ་དེ་ནི་ཚུལ་བཞིན་མ་ཡིན་པ་སྟེ་། རྒྱུ་དེ་དང་། གཞི་དེ་དང་། དབང་༄༢༨ཨ་༌་༎ དེས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་འགྱུར་བས་ན་།
 तद्रूपमसौ निमित्तग्राहमनुव्यंजनग्राहं च परिवर्जयति ।	དེས་མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པའི་རང་བཞིན་དེ་ཡོངས་སུ་སྤོང་བར་བྱེད་དེ་།
 पापका अकुशला धर्माः कतमे [।	སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་གང་ཞེ་ན་། འདོད་ཆགས་དང་འདོད་ཆགས་ཀྱི་ཀུན་ནས་བསླང་བ་།
 ] रागः, रागसमुत्थापितं कायदुश्चरितं, वाग्दुश्चरितं, मनोदुश्चरितं । द्वेषो, मोहः [।	ལུས་ཀྱིས་ཉེས་པར་སྤྱད་པ་དང་། ངག་གིས་ཉེས་པར་སྤྱད་པ་དང་། ཡིད་ཀྱིས་ཉེས་པར་སྤྱད་པ་དང་། ཞེ་སྡང་བ་དང་། གཏི་མུག་པ་དང་། གཏི་མིག་གིས་ཀུན་ནས་བསླང་བ་།
 ], मोहसमुत्थापितं च कायदुश्चरितं, वाग्दुश्चरितं,	ལུས་ཀྱིས་ཉེས་པར་སྤྱད་པ་དང་། ངག་གིས་ཉེས་པར་སྤྱད་པ་དང་། ཡིད་ཀྱིས་ཉེས་པར་སྤྱད་པ་རྣམས་ཏེ་།
 मनोदुश्चरितमिम उच्यन्ते पापका अकुशला धर्माः । (श्भ्_स्ह्: ७०)	དེ་དག་ནི་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཞེས་བྱའོ་༎
 कथमेते चित्तमनुस्रवन्ति ।	ཇི་ལྟར་ན་དེ་དག་སེམས་ཀྱི་རྗེས་སུ་ཟག་པར་འགྱུར་ཞེ་ན་། དམིགས་པ་གང་དང་གང་དག་ལ་།
 यदालम्बनं चित्तमनोविज्ञानमुत्पद्यते । गच्छति प्रतिसरति ।	སེམས་དང་ཡིད་རྣམ་པར་ཤེས་པ་སྐྱེ་ཞིང་འགྲོ་ལ་འབྲང་བར་འགྱུར་བའི་དམིགས་པ་དེ་དང་དེ་དག་ལ་སེམས་དང་ཡིད་རྣམ་པར་ཤེས་པ་དེ་དང་མཚུངས་པར་ལྡན་པ་།
 तदालम्बनास्तदालम्बनास्तेन चित्तमनोविज्ञानेन संप्रयुक्ताः [ः] कायवाङ्मनोदुश्चरितसमुत्थापका[स्] ते रागद्वेषमोहा उत्पद्यन्ते, गच्छन्ति प्रतिसरन्ति । तेनोच्यन्ते (ते) चित्तमनुप्रवन्ति ॥	ལུས་དང་ངག་དང་ཡིད་ཀྱིས་ཉེས་པར་སྤྱད་པ་ཀུན་ནས་སློང་བར་བྱེད་ལ་། འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་དེ་དག་ཀྱང་སྐྱེ་ཞིང་འགྲོ་ལ་འབྲང་བར་འགྱུར་བས་ན་། དེའི་ཕྱིར་སེམས་ཀྱི་རྗེས་སུ་ཟག་པར་འགྱུར་བར་ཞེས་བྱའོ་༎
 एवं तावन्निमित्तग्राहेणानुव्यंजनग्राहेण च य उत्पद्यते,	མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པ་ཡོངས་སུ་སྤོང་བར་བྱེད་པ་དེ་ལ་ནི་།
 संक्लेशश्चक्षुर्विज्ञेयेषु रूपेषु यावन्मनोविज्ञेयेषु धर्मेषु सो [अ]स्य नोत्पद्यते निमित्तग्राहमनुव्यंजनग्राहं च परिवर्जयतः [।	དེ་ལྟར་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ཀྱི་བར་ལ་། མཚན་མར་འཛིན་པ་དང་། མངོན་རྟགས་སུ་འཛིན་པ་ལས་བྱུང་བའི་ཀུན་ནས་ཉོན་མོངས་པ་གང་ཡིན་པ་དེ་དག་འབྱུང་བར་མི་འགྱུར་རོ་༎ 
 ] स चेत् पुनः स्मृतिसंप्रमोषाद्वा,	གལ་ཏེ་བརྗེད་ངས་པའམ་།
 क्लेशप्रचुरतया वा,	ཉོན་མོངས་པ་མང་བས་།
 एकाकिनो [अ]पि विहरतः पूर्वदृष्टानि चक्षुर्विज्ञेयानि रूपाण्यधिपतिं कृत्वा पूर्वानुभूतां (तान्)	གཅིག་པུར་གནས་པ་ན་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་སྔོན་མཐོང་བ་རྣམས་ཀྱི་དབང་དུ་བྱས་ཤིང་།
 श्रोत्रघ्राणजिह्वाकायमनोविज्ञेयान् धर्मानधिपतिं कृत्वोत्पद्यन्ते पापका अकुशला धर्मा[स्] तानुत्पन्नानधिवासयति, प्रजहाति,	རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་སྔོན་ཉམས་སུ་མྱོང་བ་རྣམས་ཀྱི་དབང་དུ་བྱས་ཏེ་། སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་འབྱུང་བར་འགྱུར་ན་། དེ་དག་བྱུང་ཡད་དང་དུ་མི་ལེན་ཅིང་༄༢༨བ་སྡོང་བར་བྱེད་།
 विशोधयति, व्यन्तीकरोति ।	སེལ་བར་བྱེད་།
 तेनोच्यते तेषां सम्वराय प्रतिपद्यते ।	བྱང་བར་བྱེད་པས་ན་དེའི་ཕྱིར་དེ་དག་བསྡམ་པར་བྱ་བའི་ཕྱིར་དེ་སྒྲུབ་པར་བྱེད་པ་ཞེས་བྱའོ་༎ 
 स येषु रूपेषु चक्षुः प्रेरयितव्यं भवति ।	དེ་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་གང་དག་ལ་མིག་གཏད་པར་བྱ་བ་བྱའོ་༎ 
 येषु श्रोत्रघ्राणजिह् वाकायमनोविज्ञेयेषु धर्मेषु मनः प्रेरयितव्यं (श्भ्_स्ह्: ७१) भवति ।	དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་གང་དག་ལ་ཡིད་གཏད་པར་བྱ་བ་དེ་དག་ལ་ཡང་གཏོད་པར་བྱེད་ཅིང་།
 तेषु तथा प्रेरयति । यथा न संक्लिश्यते ।	ཅི་ནས་ཀྱང་ཀུན་ནས་ཉོན་མོངས་པར་མི་འགྱུར་བ་དེ་ལྟར་གཏོད་པར་བྱེད་དེ་།
 एवमनेन तस्मात् संक्लेशान्मन[इन्द्रियं] रक्षितं भवति ।	དེ་ལྟར་ན་དེས་ཉོན་མོངས་པ་དེ་དག་ལས་དབང་པོ་ཀུན་ཏུ་བསྲུངས་པ་ཡིན་པས་ན་།
 तेनोच्यते रक्षति मन इन्द्रियं ।	དེའི་ཕྱིར་མིག་གི་དབང་པོ་ཡང་སྲུང་བར་བྱེད་ལ་ཡིད་ཀྱི་དབང་པོའི་བར་དུ་སྲུང་བར་བྱེད་པ་ཞེས་བྱའོ་༎ 
 येषु पुनश्चक्षुर्विज्ञेयेषु रूपेषु चक्शुरिन्द्रियं न प्रेरयितव्यं भवति । येषु श्रोत्रघ्राणजिह् वाकायमनोविज्ञेयेषु ध[र्मेषु] मन इन्द्रियं न प्रेरयितव्यं भवति ।	དེ་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་གང་དག་ལ་མིག་གི་དབང་པོ་གཏད་པར་བྱ་བ་མ་ཡིན་པ་དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་གང་དག་ལ་།
