 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 अथ स द्वारपालपुरुषो गत्वा बलिमारोचयति - देव,	དེ་ནས་སྐྱེས་བུ་སྒོ་བ་དེ་སོང་སྟེ་། གཏོར་མ་ལ་ལྷ་ཁྱོད་ཀྱི་ཞལ་སྔར་༄༣༣༦བ་བྲམ་ཟེ་མིའུ་ཐུང་ཞིག་མཆིས་སོ་ཞེས་སྨྲས་སོ་༎
 आगतस्ते वामनको ब्राह्मणः । अथ स बलिस्तमेतदवोचत् - कीदृशं वस्तु याचते?	དེ་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མས་ཅིའི་དངོས་པོ་ཞིག་སློང་ཞེས་དེ་སྐད་སྨྲས་པ་དང་། ལྷ་། མ་འཚལ་ཏོ་ཞེས་སྨྲས་སོ་༎
 अथ स द्वारपालस्तमेतदवोचत् - देव न तमनुजानामि ।	དེ་ནས་རྒྱལ་པོ་གཏོར་མས་ཁྱོད་སོང་ལ་བྲམ་ཟེ་དེ་ཁྲིད་དེ་ཤོག་ཅིག་ཅེས་དེ་སྐད་སྨྲས་པ་དང་། 
 अथ स बलिस्तमेतदवोचत् - गच्छन्तु भवन्तः, आनीयतां ब्राह्मणः । स तैर्द्वारपालपुरुषैराहूयोक्तः - प्रविश महाब्राह्मण ।	སྒོ་བ་དེས་དེ་བོས་ཏེ་བྲམ་ཟེ་ཆེན་པོ་བཞུད་ཅིག་ཅེས་སྨྲས་ནས་།
 स प्रविष्टः, रत्नपीठमनुप्रदत्तम् ।	དེ་ནང་དུ་སོང་བ་དང་རིན་པོ་ཆེའི་ཁྲིའུ་ལ་བཞག་སྟེ་།
 शुक्रस्तत्रैव व्यवस्थितः ।	པ་བ་སངས་ཀྱང་དེའི་ཚེ་ན་དེ་ན་གནས་སོ་༎
 स च तस्योपाध्याय इति ख्यायते । स तं बलिमेतदवोचत् - एष कालपुरुषो ऽवप्रविष्टः,	དེའང་དེའི་མཁན་པོར་གྲགས་ནས་དེས་གཏོར་མ་ལ་འདི་ནི་དུས་ཀྱི་སྐྱེས་བུ་འདྲ་བ་ཞིག་ཕྱིན་ཏེ་། 
 अवश्यं ते विघातो भविष्यति ।	ཁྱོད་ལ་ངེས་པར་བར་ཆད་བྱེད་དོ་ཞེས་དེ་སྐད་སྨྲས་སོ་༎
 बलिस्तमेतदवोचत् - कथं जानासि भगवन्?	བཅོམ་ལྡན་འདས་། ཇི་ལྟར་མཁྱེན་།
 शुक्र उवाच - जानाम्यहं तस्य निमित्तानि चिह्नानि च दृष्ट्वा ।	ངས་ནི་ལྟས་དང་མཚན་མ་ལས་ཤེས་སོ་༎
 बलिराह - किमुपायं वयं कुर्यामः? अथ नारायणेन विचिन्त्य अवश्यं दानस्य विप्रतिसारं भविष्यति । तेन मे सरस्वती मुखे न्यस्ता,	བདག་ཅག་གི་ཐབས་ཇི་ལྟ་བུ་ཞིག་བགྱི༏་དེ་ནས་མཐུ་བོ་ཆེས་ངེས་པར་སྦྱིན་པ་ལ་འགྱོད་པར་འགྱུར་རོ་སྙམ་དུ་བསམས་ནས་དེས་དེའི་ཁར་ས་ར་སབ༹་ཏི་བཅུག་པ་དང་། དེའི་ཚེ་དེས་སྨྲས་པ་།
 तदा स कथयति - आगच्छ ब्राह्मण ।	བྲམ་ཟེ་ཚུར་ཤོག་།
 कीदृशमभिप्रायो भवतः?	ཁྱོད་ཇི་ལྟ་བུར་སེམས་།
 स प्रविश्यैतदवोचत् - द्विपदभूमी याचयामि ।	བྲམ་ཟེ་དེས་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ གོམ་པ་གཉིས་ཤིག་གསོལ་ཏོ་༎
 बलिरुवाच - यदि त्वं ब्राह्मण द्विपदं याचसे, मया त्रीणि पदानि ते ऽनुप्रदत्तानि ।	བྲམ་ཟེ་ཆེན་པོ་ཁྱོད་ཀྱིས་ཇི་ལྟར་གོམ་པ་གཉིས་བླངས་ན་ངས་ནི་གོམ་པ་གསུམ་སྦྱིན་ནོ་༎ དེ་ནས་བླང་བ་བླངས་ནས་། བཀྲ་ཤིས་སོ་ཞེས་སྨྲས་ཏེ་།
 स प्रतिग्रहं तस्योपगृह्य स्वस्तिमुपवद्यानुगृहीतं तेन तिलपानीयसुवर्णसहितम् ।	དེས་ཆུ་དང་ཏིལ་དང་གསེར་དུ་བཅས་པ་བླངས་སོ་༎
 ततस्तेन वामनकरूपमन्तर्धापितम् ।	དེ་ནས་མིའུ་ཐུང་དེའི་གཟུགས་༄༣༣༧ཨ་༌༎
 अथ शुक्रो बलिमेतदवोचत् - राजन् कथितं मया कालपुरुष एष प्रविष्टः । न च त्वया प्रमाणं कृतं वचनम् ।	མི་སྣང་བར་བྱས་སོ་༎ དེ་ནས་པ་བ་སངས་དེས་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ རྒྱལ་པོའི་དྲང་སྲོང་ཁོ་བོས་དུས་ཀྱི་སྐྱེས་བུ་འོངས་སོ་ཞེས་བྱས་ན་ཁྱོད་ཀྱིས་ངའི་ཚིག་མ་མཉན་ཏེ་། 
 तस्यैतत् कर्मफलमनुभव । तेनात्मानं महाप्रमाणीकृतम् ।	ལས་དེའི་འབྲས་བུ་མྱོང་བར་གྱིས་ཤིག་།
 तस्य चन्द्रादित्यौ स्कन्धौ व्यवस्थितौ ।	དེས་བདག་གི་ལུས་ཆེན་པོར་བསྒྱུར་བ་དང་། ཉི་མ་དང་ཟླ་བ་ནི་དེའི་ཕྲག་པ་ལ་གནས་།
 गृहीत्वासौ निगडचक्रधनुस्तोमरभिण्डिपालासन्नह्य (?) ॥	ལག་ན་ནི་རལ་གྲི་དང་། གཞུ་དང་། འཁོར་ལོ་དང་། མཚོན་ཆ་དག་ཐོགས་སོ་༎
 अथ बलिरसुरेन्द्रो ऽधोमुखं प्रपतितः स्मृतिभ्रष्टः थरथरायमानः स्थितः । किं कृत्य(?) स्वहस्तेन मया विषं भक्षितम् । द्विपदानि परिपूरितानि । तृतीयं पदं न संविद्यते ।	དེ་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མ་ཁ་བུབ་ཏུ་འགྱེལ་ནས་དྲན་པ་ཉམས་ཏེ་འདར་འདར་པོར་བྱས་ནས་བདག་གིས་ཅི་བགྱིས་རང་གི་ལག་ནས་དུག་འཚལ་བ་ལྟ་ཞེས་སྨྲས་སོ་༎
 तदा स कथयति - तृतीयस्य पदं न संविद्यते ।	གོམ་པ་གཉིས་ནི་ཚང་ན་གསུམ་པ་བྱིན་ཅིག་ཅེས་སྨྲས་པ་དང་། གསུམ་པ་མ་མཆིས་སོ་ཞེས་དེས་སྨྲས་སོ་༎
 यन्मम प्रतिग्रहं याचितम्,	ཁོ་བོས་བླང་བའང་བླངས་སོ་༎
 कीदृशं पापं करोम्यहम्?	བདག་གིས་ཐབས་ཇི་ལྟ་བུ་ཞིག་བགྱི་།
 अथ नारायणस्तमेतदवोचत् - यत्राहं स्थापयामि तत्र त्वया स्थातव्यम् ।	ངས་གར་བཞག་པ་དེར་ཁྱོད་ཀྱིས་འདུག་པར་གྱིས་ཤིག་།
 (वैद्य २७५) अथ स बलिरसुरेन्द्रस्तमेतदवोचत् - यादृशं त्वयाज्ञप्तं तादृशं करोम्यहम् ।	དེ་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མས་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ བདག་ནི་བཀའ་ཅི་སྩལ་པ་དེ་བཞིན་དུ་བགྱིད་དོ་༎ མད་དོ་༎
 सत्यं कुरुषे?	མད་དོ་ཞེས་བགྱིས་།
 स कथयति - सत्यं सत्यं करोम्यहम् ।	དེས་སྨྲས་པ་། མད་དོ་༎ མད་པར་བགྱིད་དོ་༎
 तेन सत्यपाशैर्बद्धः । सा च यज्ञभूमिर्विनाशिता ।	དེས་བདེན་པའི་ཞགས་པས་བཅིངས་ནས་མཆོད་སྦྱིན་གྱི་གནས་དེའང་བཤིག་གོ་།
 तानि च भाण्डान्युच्छिष्टीकृतानि ।	སྣོད་དེ་དག་ཀྱང་ལྷག་མ་ཅན་དུ་བགྱིས་སོ་༎
 ता अपि च कुमारिकाः पाण्डवैः कौरवैर्विध्वंसिताः ।	བུ་མོ་གཞོན་ནུ་དེ་དག་ཀྱང་པན་ད་པ་དང་། ཀོའུ་༄༣༣༧བ་རབ་དག་གིས་མནོལ་བར་བགྱིས་སོ་༎
 तानि च सुवर्णमयानि सिंहासनानि दिव्यानि च्छत्राण्युपानहानि रत्नपरिवेष्टितानि च वस्त्राभरणानि च सुवर्णघण्टानि सुवर्णकटकानि रत्नखचितानि कपिलानि कौरवपाण्डवैर्विध्वंसितानि । सा च यज्ञभूमिर्विनाशिता ॥	སེང་གེའི་ཁྲི་དེ་དག་དང་། ལྷའི་གདུགས་དེ་དག་དང་། ལྷམ་རིན་པོ་ཆེས་བརྒྱན་པ་དེ་དག་དང་། གོས་དང་རྒྱན་དེ་དག་དང་། གསེར་གྱི་དཔུང་རྒྱན་རིན་པོ་ཆེས་སྤྲས་པ་དེ་དག་དང་། གླང་སེར་སྐྱ་དེ་དག་ཀྱང་པན་ད་པ་དང་། ཀོའུ་ར་བ་དེ་དག་གིས་འཚལ་ཏོ་༎ བདག་གི་ས་གཞི་དེ་དག་ཀྱང་བཅོམ་མོ་༎
 अथ स बलिरसुरेन्द्रो यज्ञभूमेर्निष्क्रान्तः शरीरचिन्तामापेदे - दाता बलिरुदारयज्ञमुपास्य ।	དེ་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མ་ལུས་ལ་སེམས་ཤིང་གཏོར་མ་ནི་མཆོད་སྦྱིན་རྒྱ་ཆེར་བགྱིད་ན་། 
 कालदानस्य दत्तस्य बन्धनमेव लब्धम् ।	ཐབས་མ་འཚལ་བས་དུས་མ་ལགས་པས་སྦྱིན་པ་བྱིན་པས་བཅིངས་པ་ཉིད་ཐོབ་ཆེར་བགྱིད་ན་། 
 नमो ऽस्तु देवाय ।	།
 यथैव कर्ता सर्ता स नीत्वा पातालमुपस्थापितः सान्तःपुरपरिवारः ।	དེ་ཁྲིད་ནས་བྱེད་པ་པོ་བཞིན་དུ་སླས་དང་འཁོར་དང་བཅས་ཏེ་སའི་འོག་ཏུ་བཞག་གོ་།
 आख्यातं हि मया भगवन् - भूतपूर्वं कुरुक्षेत्रे मया दानं दत्तं तस्यैतत्कर्मफलमनुभवामि । तथा त्राता भवाहि मे भगवन्नाथ, न भूयो दुःखमाप्नुयाम् ॥ अथ बलिस्तं भगवन्तमार्यावलोकितेश्वरं बोधिसत्त्वं महासत्त्वं स्तोत्रविशेषैः स्तोतुमारब्धः - त्राणं भवाहि शुभपद्महस्त ।	བདག་གིས་སྔོན་ཞིང་ངན་པ་ལ་སྦྱིན་པ་བགྱིས་སོ་ཞེས་གསོལ་བ་ལགས་ཏེ༏་ཕྱག་ན་མེ་ཏོག་པདམ་བཟང་པོ་ཐོགས་པས་སྐྱབས་མཛོད་ཅིག་།
 पद्मश्रियालंकृतशुद्धकाय । अमिताभमूर्ते शिरसा नमामि । जटार्धमध्ये चिन्तामणिमुकुटधराय । शुभपद्महस्ताय । पद्मश्रिया समलंकृताय ।	པདམའི་དཔལ་གྱིས་བརྒྱན་པ་།
 जटामुकुटधराय ।	སྐྲའི་ཅོད་པན་ཐོགས་པ་།
 सर्वज्ञवशीकृताय ।	ཐམས་ཅད་མཁྱེན་པ་དབུ་ན་བཞུགས་པ་།
 बहुसत्त्वाश्वासनकराय ।	སེམས་ཅན་མང་པོ་དབུགས་འབྱིན་པར་མཛད་པ་།
 हीनदीनानुकम्पाय ।	དམན་པ་དང་ཕོངས་པ་ལ་ཐུགས་རྗེ་བ་།
 दीवाकरवररोचनकराय ।	གདུགས་བཞིན་དུ་སྤྱན་བཟང་བ་།
 पृथिवीवररोचनकराय ।	སའི་སྤྱན་དམ་པ་།
 भैषज्यराजोत्तमाय ।	སྨན་གྱི་རྒྱལ་པོའི་མཆོག་།
 सुशुद्धसत्त्वाय ।	སེམས་ཅན་ཤིན་ཏུ་དག་པ་།
 परमयोगमनुप्राप्ताय ।	རྣལ་འབྱོར་རབ་ཏུ་ཐོབ་པ་། ཐར་པ་རབ་མཆོག་ཅན་།
 मोक्षप्रवराय मोक्षप्रियाय । चिन्तामणिवत्सदृशाय ।	ཐར་པ་ལ་དགྱེས་པ་།
 धर्मगञ्जपरिपालनकराय ।	ནོར་བུ་ཡིད་བཞིན་དང་འདྲ་བ་ཆོས་ཀྱི་མཛོད་ཡོངས་སུ་སྐྱོང་བར་མཛད་པ་།
 षट्पारमितानिर्देशनकराय । सुचेतनकराय ।	ཕ་༄༣༣༨ཨ་༌༎ རོལ་ཏུ་ཕྱིན་པ་དྲུག་སྟོན་པར་མཛད་པ་།
 इदं स्तोत्रं मया कृतमवलोकितेश्वरस्य ।	བསམ་པ་ལེགས་པར་མཛད་པ་ལ་བདག་གིས་བསྟོད་པ་འདི་བགྱིས་སོ་༎
 सुखितास्ते सत्त्वा ये तव नामधेयमनुस्मरन्ति ।	གང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་ཁྱོད་ཀྱི་མཚན་རྗེས་སུ་དྲན་པའི་སེམས་ཅན་དེ་དག་ནི་བདེ་བ་དང་ལྡན་པ་ལགས་སོ་༎
 मुच्यन्ते ते कारसूत्रै रौरवोपपन्नेषु अवीच्युपपन्नेषु प्रेतनगरोपपन्नेषु ये तव नामधेयमनुस्मरन्ति । मुच्यन्ते त बहवः पापदुःखात् ।	ཐིག་ནག་པོ་ཅན་དང་འོ་དོད་འབོད་པ་དང་། སེམས་ཅན་དམྱལ་བར་སྐྱེས་པ་དང་། ཡི་དབ༹གས་ཀྱི་གྲོང་ཁྱེར་དུ་སྐྱེས་པ་གང་དག་ཁྱོད་ཀྱི་མཚན་རྗེས་སུ་དྲན་པ་དེ་དག་ནི་ངན་སོང་གི་སྡུག་བསྔལ་ཆེན་པོ་ལས་ཐར་བ་ལགས་སོ་༎ 
 सुचेतनास्ते सत्त्वा ये तव नामधेयमनुस्मरन्ति ।	གང་ཁྱོད་ཀྱི་མཚན་རྗེས་སུ་དྲན་པའི་སེམས་ཅན་དེ་དག་ནི་བསམ་པ་ལེགས་པ་དང་ལྡན་པ་ལགས་ཏེ་།
 गच्छन्ति ते सुखावतीलोकधातुम् । अमिताभस्य तथागतस्य धर्ममनुस्मरन्ति शृण्वन्ति ॥	དེ་དག་ནི་བདེ་བ་ཅན་གྱི་འཇིག་རྟེན་གྱི་ཁམས་སུ་མཆིས་ནས་དེ་བཞིན་གཤེགས་པ་སྣང་བ་མཐའ་ཡས་ལས་ཆོས་ཉན་པར་འགྱུར་རོ་༎
 अथ आर्यावलोकितेश्वरो बलेरिन्द्रस्य व्याकरणमनुप्रयच्छति स्म - भविष्यसि त्वमसुरेन्द्र	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མ་ལ་ལུང་བསྟན་པ་།
 श्रीर्नाम तथागतो ऽर्हन् सम्यक्संबुद्धो विद्याचरणसंपन्नः सुगतो लोकविदनुत्तरः	ཁྱོད་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་། རིག་པ་དང་རྐང་པར་ལྡན་པ་བདེ་བར་གཤེགས་པ་། འཇིག་རྟེན་མཁྱེན་པ་།
 पुरुषदम्यसारथिः शास्ता देवानां च मनुष्याणां च बुद्धो भगवान् ।	བླ་ན་མེད་པ་སྐྱེས་བུ་འདུལ་པའི་ཁ་ལོ་སྒྱུར་བ་། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལྷ་མ་ཡིན་གྱི་༄༣༣༨བ་དབང་པོའི་དཔལ་ཞེས་བྱ་བར་འགྱུར་ཏེ་།
 सर्वे ते ऽसुरा वैनेया भविष्यन्ति ।	ལྷ་མ་ཡིན་ཐམས་ཅད་འདུལ་བར་འགྱུར་རོ་༎
 तत्र तव बुद्धक्षेत्रे न रागशब्दो न द्वेषशब्दो न मोहशब्दो भविष्यति ।	ཁྱོད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ན་འདོད་ཆགས་ཀྱི་སྒྲ་མེད་། ཞེ་སྡང་གི་སྒྲ་མེད་། གཏི་མུག་གི་སྒྲ་མེད་པར་འགྱུར་རོ་༎
 षडक्षरी महाविद्या लब्धलाभा भविष्यति ।	ཡི་གེ་དྲུག་པའི་རིག་པ་ཆེན་པོ་འཐོབ་པ་ཐོབ་པར་འགྱུར་རོ་༎
 तेन तस्य धर्मदक्षिणा उपनामिता ।	དེས་དེ་ལ་ཆོས་ཀྱི་སྦྱིན་པ་།
 शतसहस्रमूल्यं मुक्ताहारमुपनामितं मौलीकुण्डलं च नानारत्नसमुच्चितमुपनामितं च ॥	མུ་ཏིག་གི་སེ་མོ་དོ་འདོམ་སྟོང་པ་རིན་བརྒྱ་སྟོང་རི་བ་དང་། ཅོད་པན་རན་པོ་ཆེ་སྣ་ཚོགས་ཀྱིས་བརྒྱན་པ་ཕུལ་ལོ་༎
 अथ आर्यावलोकितेश्वरो धर्मदेशनां कर्तुमारब्धः - शृणु महाराज ।	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་ཆོས་འཆད་པར་རྩོམ་སྟེ་། 
 नित्ये ध्रुवे शाश्वते मानुष्यके ये चिन्तयन्ति सततपरिग्रहं महाभोगान्यनुविचिन्तयन्ति दासीदासकर्मकरपौरुषेयान्, यानि च महार्हाणि वस्त्रशय्यासनानि, ये च महार्हा निधानधनधानधनधान्यकोषकोष्ठागाराः, अज्ञानास्ते सत्त्वा ये पुत्रदारदारिकामनुविचिन्तयन्ति भार्यां मातापितरौ ।	རྒྱལ་པོ་ཆེན་པོ་ཉོན་ཅིག་མི་མི་རྟག་པའི་ནང་ན་གང་རྟག་ཏུ་ཡོངས་སུ་ལེན་པར་སེམས་པ་དང་། ལོངས་སྤྱོད་ཆེན་པོའི་རྗེས་སུ་སེམས་པ་དང་། བྲན་ཕོ་དང་། བྲན་མོ་དང་། ལས་བྱེད་པའི་མི་དང་། གལ་ཡང་ནོར་དང་། འབྲུ་དང་། མཛོད་དང་། བང་བ་རིན་པོ་ཆེ་དག་དང་། གང་བུ་དང་། བུ་མོ་དང་། ཆུང་མ་དང་། ཕ་དང་། མ་ལ་སེམས་པའི་སེམས་ཅན་དེ་དག་ནི་མི་ཤེས་པ་ཡིན་ཏེ་།
 (वैद्य २७६) एभिर्वस्तुभिर्ये सक्तास्ते स्वप्नोपमा एव दृश्यन्ते ।	གང་དངོས་པོ་དེ་དག་ལ་ཆགས་པའི་སེམས་ཅན་དེ་དག་ནི་རྨི་ལམ་ལྟ་བུར་སྣང་སྟེ་།
 मरणकालसमये न कश्चित्तेषां त्राता भवति ।	འཆི་བའི་དུས་ཀྱི་ཚེའང་སྐྱབས་བྱེད་པ་སུའང་མེད་པར་འགྱུར་རོ་༎
 यदा प्राणोद्धरणं भवति, तदा जम्बुद्वीपं विपरीतं पश्यति ।	གང་གི་ཚེ་ན་སྲོག་དང་བྲལ་བ་དེའི་ཚེ་ཛམབུའི་གླིང་ལ་ལོག་པར་མཐོང་བར་འགྱུར་རོ་༎
 अथ महतीं वैतरणीं पूयशोणितपरिपूर्णां पश्यन्ति ।	ཆུ་བོ་ཆེན་པོ་ལའང་ཁྲག་དང་རྣག་གིས་གང་བར་མཐོང་བར་འགྱུར་རོ་༎
 ये च महार्हा वृक्षास्तान् प्रदीप्तान् सप्रज्वलितानेकज्वालीभूतान् पश्यन्ति ।	གང་ཤིང་ཆེན་པོ་དེ་དག་ཀྱང་འབར་བ་། རབ་ཏུ་༄༣༣༩ཨ་༌༎ འབར་བ་།
 दृष्ट्वा च समापद्यन्ते ।	ཡང་དག་པར་ཤིན་ཏུ་འབར་བར་མཐོང་བར་འགྱུར་རོ་༎
 ततो यमपालपुरुषैः कालपाशैर्बद्ध्वा नीयन्ते ।	མཐོང་ནས་ཀྱང་སྐྲག་པར་འགྱུར་ཞིང་དེ་ནས་གཞན་གྱིས་ཞགས་པས་བཅིངས་ཏེ་ཁྲིད་པར་འགྱུར་རོ་༎
 त्वरितं त्वरितं क्षुरधारोपचिते महापथे पादा विशीर्यन्ते ।	སྤུ་གྲིའི་སོའི་ལམ་ཆེན་པོར་རྐང་པའང་འཆད་པར་འགྱུར་རོ་༎
 उत्क्षिप्ते पादे ये ऽन्याः पादाः प्रादुर्भवन्ति,	རྐང་པ་བཏེག་པ་དང་རྐང་པ་གཞན་འབྱུང་བར་འགྱུར་རོ་༎
 अनेकैः काकगृध्रश्वानादिभिर्भक्ष्यन्ते । महतीं नारकीयां वेदनां प्रत्यनुभवन्ति ।	བྱ་རོག་དང་། བྱ་རྒོད་དང་། བྱ་ཀུ་ར་ར་དང་། ཁྱི་དུ་མ་དག་གིས་ཀྱང་ཟོས་ཤིང་སེམས་ཅན་དམྱལ་བའི་སྡུག་བསྔལ་གྱི་ཚོར་བ་ཆེན་པོ་མྱོང་བར་འགྱུར་རོ་༎ 
 ततः क्षुरधारोपचितान्महापथादवतीर्य यत्र षोडशाङ्गुलिप्रमाणानि कण्टकानि तत्रानीयते, तत एकैकपादे पञ्च पञ्चशतानि कण्टकानि प्रविशन्ति ।	དེ་ནས་སྤུ་གྲིའི་སོའི་ལམ་ཆེན་པོ་ལས་བབས་ནས་རྐང་པ་རེ་རེ་ལའང་ཚེར་མ་སོར་བཅུ་དྲུག་ཙམ་ཡོད་པ་ལྔ་བརྒྱ་ལྔ་བརྒྱ་ཟུག་པར་འགྱུར་ཏེ་།
 स चाक्रन्दन्ति - विषयपापरतेन सत्त्वेन कर्म कृतम् ॥	བདག་ཅག་གིས་སྡིག་པའི་ལས་ཅི་ཞིག་བྱས་ཞེས་འཁོད་པར་འགྱུར་རོ་༎
 अथ ते यमपालपुरुषा एवमाहुः - मार्षाः,	དེ་ནས་གཤིན་རྗེའི་མི་དེ་དག་འདི་སྐད་ཅེས་ཟེར་ཏེ་།
 न त्वया तथागतस्य पिण्डपात्रं निर्यातितम् ।	གྲོགས་པོ་ཁྱེད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་ལ་བསོད་སྙོམས་མ་ཕུལ་ལོ་༎
 न च त्वया धर्मगण्डीमाकोट्यमाना श्रुता । न बुद्धनाम गृहीतम् । न च त्वया क्वचिद्दानानि दीयमानानि दृष्ट्वानुमोदितानि ।	ཁྱེད་ཀྱིས་གནདི་རྡུང་བའང་མ་ཐོས་སོ་༎
 न च त्वया क्वचित् प्रदेशे स्तूपबिम्बानि प्रदक्षिणीकृतानि ।	ཁྱོད་ཀྱིས་ས་ཕྱོགས་གང་དུའང་མཆོད་རྟེན་གྱི་གཟུགས་མ་བསྐོར་ཏོ་༎ དེ་དག་གིས་སྨྲས་པ་།
 स कथयति - अश्राद्धो ऽभूवं पापरतो बुद्धधर्मसंघपरिवर्जितः पापमित्रपरिगृहीतः कल्याणमित्रपरिवर्जितश्च ।	བདག་ཅག་ནི་མ་དད་པ་སྡིག་པ་ཅན་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་གྱིས་སྤངས་པར་གྱུར་པའོ་༎
 ते कथयन्ति - तस्यैतत्कर्मफलमनुभवसे ।	དེ་དག་གིས་སྨྲས་པ་། ལས་དེའི་འབྲས་བུ་འདི་མྱོང་བར་གྱིས་ཤིག་ཅེས་དེ་དག་གཤིན་རྗེའི་སྐྱོང་བས་། གཤིན་རྗེའི་རྒྱལ་པོའི་དྲུང་དུ་ཁྲིད་དོ་༎ ཁྲིད་ནས་༄༣༣༩བ་ཕུལ་ལོ་༎ དེ་ནས་གཤིན་རྗེའི་རྒྱལ་པོས་སྨྲས་པ་། ཁྱེད་དེང་ལ་ལས་ཀྱི་ས་འདི་སྟོན་ཅིག་།
 स तैर्यमपालकैर्नीयते चैतत्कर्मभूमिमुपदर्शयितुम् ॥ अथे ते यमपुरुषा नीत्वा कालसूत्रे महानरके क्षिपन्ति ।	དེ་ནས་གཤིན་རྗེ་སྐྱོང་བའི་སྐྱེས་བུ་དེ་དག་གིས་དེ་རྣམས་ཁྲིད་ནས་ཐིག་ནག་པོ་ཅན་གྱི་སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་བཅུག་གོ་།
 शिक्षा चैकैकशक्तिशतं काये विध्यन्ति तदपि जीवति,	བཅུག་ནས་ལུས་ལ་མཚོན་ཤཀཏི་བརྒྱས་བཏབ་ཀྱང་མི་འཆིའོ་༎
 द्वितीयं शक्तिशतं काये विध्यन्ति तदपि जीवति,	ལུས་ལ་མཚོན་ཤཀཏི་བརྒྱ་པ་གཉིས་པས་བཏབ་ཀྱང་མི་འཆིའོ་༎
 तृतीयं शक्तिशतं काये विध्यन्ति तदपि जीवति ।	ལུས་ལ་མཚོན་ཤཀཏི་བརྒྱ་པ་གསུམ་པས་བཏབ་ཀྱང་མི་འཆིའོ་༎
 यदा कलं न कुर्वन्ति तदाग्निखदामध्ये क्षिपन्ति ।	གང་གི་ཚེ་འཆི་བའི་དུས་མི་བྱེད་པ་དེའི་ཚེ་མེའི་འོབས་སུ་འཇུག་སྟེ་།
 तदपि कालं न कुर्वन्ति । ततस्ते तप्तायोगुडामुखे विष्कम्भन्ते दह्यन्ते ।	འོན་ཀྱང་འཆི་བའི་དུས་མི་བྱེད་པ་དང་། དེ་དག་ཁ་བྱེ་ནས་ལྕགས་ཀྱི་ཐུ་ལུམ་བསྲེགས་པ་འཇུག་སྟེ་། མཆུའང་ཚིག་།
 तेषामीष्टमपि दन्तानि विशीर्यन्ते,	སོའང་ལྷགས་།
 तालूनि विस्फुटन्ते,	རྐན་ཡང་གས་།
 कण्ठमपि तालुमपि हृदयमपि यन्त्रवत्कला निगडायमाना सर्वं तं कायं दह्यन्ते ।	གྲེ་བ་དང་། ལྐོག་མ་དང་། སྙིང་དང་། གཞང་དག་ཀྱང་སྒྲ་འུར་འུར་ཟེར་ཞིང་ལུས་ཐམས་ཅད་ཀྱང་ཚིག་པར་འགྱུར་རོ་༎ དེ་ལྟ་བས་ན་།
 एवमेव हा राजन् न कश्चित् त्राता भविष्यति परलोके ।	རྒྱལ་པོ་ཆེན་པོ་། འཇིག་རྟེན་གཞན་ན་སྐྱབས་བྱེད་པ་སུའང་མེད་ཀྱི་། རྒྱལ་པོ་ཆེན་པོ་།
 तस्मात्तर्हि तं महाराज यत्नेन पुण्यं कर्तव्यम् ।	ད་ནན་ཏན་དུ་བསོད་ནམས་གྱིས་ཤིག་ཅེས་དེ་ལྟར་མཐུན་པའི་ཆོས་བསྟན་ཏོ་༎
