	@214a rgya gar skad du / a'a yu pa ryanta s'u tra / bod skad du / tshe'i mtha'i mdo / dkon mchog gsum la phyag 'tshal lo // 'di skad bdag gis thos pa dus gcig na /	10.0
pramANam tat Bavati mAnuzikayA gaNanayA saptapaMcASat varza kowyaH zazwiH ca varza Sata sahasrANi AyuzaH pramANam	de mi'i ltar brtsis na lo bye ba phrag lnga bcu rtsa bdun dang / lo sa ya phrag drug yod de /	76.68395001874076
asti antareNa kAla kriyA ApH  tat Bavati rOrave mahAnarake gbm ekam rAtriMdivasam	bar ma dor 'chi ba ni yod do // de ni sems can dmyal ba chen po du 'bod kyi nyin zhag gcig go /	76.80233705523855
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa tayA saMvatsara gaNanayA catvAri varza sahasrANi rOrave gbm	zla ba bcu gnyis la lo gcig ste /	52.22307197199167
mahAnarake nArakANAm satvAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayA azwO varza kowIn a yutAni ekonatriMSat ca varzakowISagbm	sems can dmyal ba chen po du 'bod kyi sems can dmyal ba rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lo bzhi stong thub ste /	76.35226671343034
catuScatvAriMSat ca varza kowI sahasrANi AyuzaH pramANam	de mi'i ltar brtsis na lo bye ba phrag sa ya gnyis dang / bye ba phrag dgu 'bum bzhi khri bzhi stong dang / bye ba phrag brgyad yod de /	88.07122780685754
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  aTa BagavAn tasyAm velAyAm gATe BAzate x i x ini  porA rOdrAH ruDira pANayaH	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / 'jigs su rung la drag shul can // lag pa gnyis ni khrag gis bskus //	83.55108764647325
pApa karma samAcArAH gbm jAyante rOrave sadA vinASayitvA janatAm dahyante rOrave ciran na dattaH BEravam nAdam tUwakAH vawikAH narAH ApH  yAni BikzavaH manuzyANAm azwO gbm	sdig pa'i las ni spyod pa yis // rtag tu du 'bod 'gro bar 'gyur // gzhal lugs g-yo dang sgyu byed mi // skye bo @219b dag ni yid phyung bas // 'jigs su rung ba'i sgra 'byin cing // yun ring du ni sreg 'bod 'gyur // dge slong dag /	76.15322355107537
varza SatAni tAni nirmANa ratInAm devAnAm ekam rAtriMdivasam	mi rnams kyi lo brgyad brgya gang yin pa de 'phrul dga'i lha rnams kyi nyin zhag gcig go /	84.12998216442547
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa tayA saMvatsara gaNanayA divyAni azwO varza sahasrANi gbm	zla ba bcu gnyis la lo gcig ste /	53.686709425009695
nirmANa ratInAm devAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayA triMSat uttare dve varza kowi Sate catvAriMSat ca varza SataAyuzaH pramANam gbm	'phrul dga'i lha rnams kyi tshe tshad ni lo de lta bur brtsis pa'i lo brgyad stong thub ste / de mi'i ltar brtsis na lo bye ba phrag nyis brgya sum cu dang / lo sa ya phrag bzhi yod de /	82.9769003494193
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  tat Bavati mahArOrave mahAnarake ekam rAtriMdivasam	de ni sems can dmyal ba chen po du 'bod chen po'i nyin zhag gcig go /	81.82956851450083
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa tayA gbm	zla ba bcu gnyis la lo gcig ste /	72.87888000950669
saMvatsara gaNanayA azwO varza sahasrANi mahArOrave mahAnarake nArakANAm satvAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayAvarzakowI kowyaH gbm paMcatriMSat ca varza kowI Sata sahasrANi dvApaMcASat ca varza kowI sahasrANi AyuzaH pramANam asti antareNa kAla kriyA	sems can dmyal ba chen po du 'bod chen po'i sems can dmyal ba rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lo brgyad stong yod do // de mi'i ltar brtsis na lo bye ba phrag sa ya gsum dang / bye ba phrag lnga 'bum khri nyis stong drug cu rtsa drug yod de /	61.94514810810379
ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate	bar ma dor 'chi ba ni yod do // de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / lta ba'i thibs pos khebs gyur cing //	87.13607251941619
dRzwI gahana saMcCannA tRzNAcCandana= CAditA	sred pa'i g-yog pas g-yogs pa dag /	64.3282904284341
pApa Darma samAcArAH mahArOrava gAmina mahArOravam AsAdya jvalanam romaharzaNam dahyante nta gbm	sdig pa'i chos ni spyod pa yis; ;du 'bod dag tu skye bar 'gyur //	51.702015244656764
rudDA narAH viSvAsa GAtakA	yid gcugs nyams pa'i mi dag ni / kha spu slong zhing 'bar ba yis // bskor ba'i khyim gyi nang chung nas // du 'bod chen po sreg par 'gyur // @220a *// gtam pa brnogs pa'i mi dag ni //	63.64106858429213
saMcCinna gAtrA asiBiH gRdDra kAka ulUka kukurEH vicezWyamAnA KAdyante x x x x    x	ral gri yis ni lus gtub cing // bya rgod bya rog 'ug pa khyis // 'gul bzhin du ni za bar 'gyur // dge slong dag /	79.0671604003729
ApH  yAni BikzavaH manuzyANAm zoxaSa gbm varza SatAni tat paranirmita vaSavartinAm devAnAm ekam rAtriMdivasam	mi rnams kyi lo stong drug brgya gang yin pa de gzhan 'phrul dbang byed kyi lha rnams kyi nyin zhag gcig go /	80.72360408080317
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa tayA saMvatsara gaNanayA gbm zoxaSa varza sahasrANi	zla ba bcu gnyis la lo gcig ste /	60.83413473715529
paranirmita vaSavartinAm devAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayA ekaviMSati varza kowi nava ca varza kowi SatAni zazgbm AyuzaH pramANam	gzhan 'phrul dbang byed kyi lha rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lha'i lo khri drug stong thub bo // de mi'i ltar brtsis na lo sa ya phrag drug dang / lo bye ba phrag dgu brgya nyi shu rtsa gcig yod de /	88.7064615346506
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  tat Bavati tapane mahAnarake ekam rAtriMdivasam	de ni sems can dmyal ba chen po tsha ba'i nyin zhag gcig go /	78.07401722150001
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena gbm saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	76.14445304870605
tayA saMvatsara gaNanayA zaz aSa varza sahasrANi tapane mahAnarake nArakANAm satvAnAm AyuzaH pramANam tat Bavati mAnuzikayA gbm	sems can dmyal ba chen po tsha ba'i sems can dmyal ba rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lo khri drug stong yod do //	78.47224847546288
gaNanayA paMca varza kowI kowi SatAni triMSat ca varza kowi kowyaH caturaSItiH ca varza kowI Sata sahasrANi zoxaSa ca varza kowI sahasrANgbm asti antareNa kAla kriyA	de mi'i ltar brtsis na lo bye ba sa ya phrag brgyad dang / bzhi 'bum dang / lo bye ba khrag khri drug stong lnga brgya sum cu yod de /	71.64854907685114
ApH  aTa BagavAn tasyAm velAyAm gATe BAzate	bar ma dor 'chi ba ni yod do // de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa /	91.52758711653264
SramaNAn brAhmaNAn sADUn mAtaram pitaram taTA santApayati yaH SizwEH tapane sa prapadyate	dge slong bram ze dge ba dang // de bzhin du ni pha ma la // gang zhig rtag tu gdung byed pa // de ni tsha bar skye bar 'gyur // 'dir ni gang zhig gdung ba yis //	82.49245070469341
gbm  x x x yAni kRtvA iha tApayitvA bahu janAn	@220b skye bo mang po gdung byed pa // las de dag gis tsha ba yi //	70.26476121388737
tapane upapadyante narake tena karmaNA	dmyal ba rnams su skye bar 'gyur //	76.67422086851937
ApH  icCaTa yUyam BikzavaH arbuda upapannAnAm satvAnAm AyuH paryantam Srotum etasya gbm	dge slong dag / khyed chu bur can du skyes pa'i sems can rnams kyi tshe'i mtha' nyan par 'dod dam / bcom ldan 'das / de'i dus la bab lags so //	89.77170811573725
Bagavan kAla etasya sugata samayaH	bde bar gshegs pa / de'i dus la bab lags so //	75.21327653138535
yat BagavAn BikzUNAm arbuda upapannAnAm satvAnAm AyuH paryantam deSayet BagavataH SrutvA BikzavaH DArayizyanti tena hi BikzavaH SRNgbm	bcom ldan 'das las dge slong dag gis gang chu bur can du skyes pa'i sems can rnams kyi tshe'i mtha' bstan pa thos nas / dge slong dag / 'dzin par bgyid lags so // dge slong dag /	86.70263984284006
sADu ca suzWu ca manasikuruta BAzizye ApH  tat yaTA BikzavaH iha syAt viMSati KArIkaH kosalakaH tilavAhaH pUrNaH tilAnAm sa cUxikA badDaH tatas kaScid eva puruzaH gbm	de'i phyir legs par rab tu nyon la yid la zungs shig dang bshad do // dge slong dag / 'di lta ste /	32.271280653521885
varza Satasya varza Satasya atyayAt ekEkam tilam apanayet kziprataram Kalu BikzavaH sa viMSati KArIkaH kosalakaH tilavAhaH anena upakragbm paryAdAnam gacCet	'di la til yul ko sa la'i khal bcu tshad nyi shu shong ba'i khal bcu tshad nyi shu pa til gyis byur bur gang bar gyur pa de las mi la la zhig gis lo brgya 'das shing til 'bru gcig bor te / til khal bcu tshad nyi shu shong ba'i khal bcu tshad nyi shu pa de thabs 'dis myur du yongs su zad cing gtugs par gyur kyang / dge slong dag /	76.17349416575483
na tu eva aham arbuda upapannAnAm satvAnAm AyuH paryantam vadAmi	chu bur can du skyes pa'i sems can rnams kyi tshe'i tshad ni de lta ma yin par nga smra'o // chu bur can gyi nyi shu ji lta ba de ltar chu bur rdol gyi gcig yin no //	78.15029315943191
ApH  yaTA viMSatiH arbudAni evam ekam nirarbudam yaTA viMSatiH nirarbudAni gbm	chu bur rdol gyi nyi shu ji lta ba de ltar so thams thams kyi gcig yin no //	62.60838385661843
evam ekam awawam yaTA viMSatiH awawAni evam ekam hahavam yaTA viMSatiH hahavAni evam ekam huhuvam yaTA viMSatiH huhuvAni evam egbm	so thams thams kyi nyi shu ji lta ba de ltar kyi hud zer gyi gcig yin no // kyi hud zer gyi nyi shu ji lta ba de ltar aa chu zer @221a *// gyi gcig yin no // aa chu zer gyi nyi shu ji lta ba de ltar autpa la ltar gas pa'i gcig yin no //	77.34243308942494
yaTA viMSatiH utpalAni evam ekam padmam yaTA viMSatiH padmAni evam ekam mahApadmam	autpa la ltar gas pa'i nyi shu ji lta ba de ltar padma ltar gas pa'i gcig yin no //	72.75937985126856
yatra kokAlikaH BikzavaH devadatta pakzaH SAriputra mOdgalyAyanayoH BikzoH gbm antike cittam pradUzya sva SarIreNa eva mahApadme mahA narake upapannaH	padma ltar gas pa'i nyi shu ji lta ba de ltar padma ltar gas pa chen po'i gcig yin no // lhas byin gyi phyogs dge slong ko ka li kas dge slong sh'a ri'i bu dang / moonggal gyi bu la zhe sdang gi sems bskyed pas rang gi lus de nyid kyis sems can dmyal ba chen po padma ltar gas pa chen por skyes so // dge slong dag / de lta bas na de'i phyir 'di ltar bslab par bya ste /	77.34682886402663
ApH  tasmAt tarhi BikzavaH evam SikzitavyaH         pi cittam apradUzayi gbm H prAk eva sa vijQAnake   iti evam vaH BikzavaH Sikzitavyam	sdong dum tshig pa la'ang zhe sdang gi sems bskyed par mi bya na rnam par shes pa dang ldan pa'i lus la lta smos kyang ci dgos pa de ltar dge slong dag khyed kyis bslab par bya'o //	76.57313064395652
ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate zu  cf uv  suvarNa varNa avadAna patna Dp  sn  sn i  et c puruzasya hi jAtasya kuwHArI jAyate muKe cCinatti hi yayA AtmAnam gbm	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / mi zhig skyes par gyur pa na // gang gis bdag ni gcod byed pa'i // kha nas sta re'i tshig 'byung ba //	64.8537662133824
vAcA durBAzitam vadan yaH nindya janam praSaMsati praSaMsyam ca janam vinindati sa cinoti muKena tam kalim kalinA yena suKam na vindati	nyes par smra bas smra ba ni // gang dag smad bya bstod byed cing // skye bo bstod bya smod byed pa'i // sdig gang bde ba mi myong ba'i // sdig de de yi kha na gsog /	75.88157689726188
alpa mAtraH hi ayam kaliH yaH iha akzEH sva Danam gbm  parAjayet	gang 'dir rgyan pos bdag nor yal //	62.780315739767886
ayam atra mahattaraH kaliH yaH sugatezu manaH pradUzyet	'di ni sdig pa chung du ste // gang zhig bde gshegs sdang sems bskyed // 'dir ni sdig pa de che'o // ngag dang yid kyis kyang ni sdig byas shing // @221b gang zhig 'phags la smod pa dmyal 'gro ste //	61.190032862002106
Satam sahasrANi nirarbudAnAm zawtriMSatam paMca ca eva arbudAni yAn Arya garhI narakAn upEti vAcam manaH gbm ca praNiDAya pApakam	stong phrag brgyar ni chu bur rdol nas su // chu bur can du sum cu rtsa drug go / sdig pa'i sems kyis bden par mi smra ba //	71.23843194962026
asatA aBivadanti pApa cittAH narakAn Atma vaDAya varDayante	bdag nyid brlag cing dmyal bar 'phen par byed //	76.45452301687361
anavadya balaH titikzate tat manasaH na Avila tAm asO prakurvan ApH  pratApane gbm	de yid dri mas ma rnyogs par byed de // kha na ma tho med pa de bzod do //	75.82168488434145
Kalu BikzavaH mahAnarake arDa kalpaH AyuzaH pramANam	dge slong dag / sems can dmyal ba chen po rab tu tsha ba'i tshe'i tshad ni bskal pa phyed gcig yin te /	85.02318304634102
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  aTa BagavAn tasyAm velAyAm gATe BAzate apahAya Palam gbm x SuBam svarga upapattaye anizwam karma kRtvA iha utpadyante pratApane	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / 'bras bu yid 'ong mtho ris su // skye 'gyur dge ba spangs nas ni // 'dir ni mi sdug las byas pas // rab tu tsha bar skye bar 'gyur //	86.43358349158183
SramaNAn brAhmaNAn sADUn mAtaram pitaram taTA	dge sbyong bram ze dge ba dang // pha dang ma yang de yin te //	73.79513480094096
hanti yaH ca gurUn anyAn pacyate sa pratApane gbm	gang yang bla ma gzhan gsod pa // rab tu tsha bar de 'tshed do //	81.80282471282536
ApH  avIcO Kalu BikzavaH mahAnarake kalpaH AyuzaH pramANam	dge slong dag / dmyal ba chen po mnar med pa'i tshe'i tshad ni bskal pa gcig ste / bar ma dor 'chi ba ni yod do //	84.73584568164809
asti antareNa kAla kriyA yatra devadattaH moha puruzaH samagram saMGam BitvA taTAgatasya antike gbm duzwa cittaH ruDiram utpAdayitvA BikzuNIm vArhantIm GAtayitvA sva SarIreNa eva avIcO mahAnarake upapannaH ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate	mi gti mug can lhas byin gyis dge 'dun mthun pa phye ba dang / de bzhin gshegs pa la ngan sems kyis khrag phyung ba dang / dge slong ma dgra bcom pa bsad pas rang gi lus de nyid kyis dmyal ba chen po mnar med pa der skyes so; ;de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa /	74.08984401263909
yaH gbm  SAsanam AryANAm arhatAm Darma jIvinAm pratikroSati durmeDAH dRzwim niSRtya pApikAm	'phags pa rnams kyis bstan pa yi // chos kyis 'os par 'tsho rnams la // sdig pa'i lta ba la @222a *// brten nas // blo ngan gang zhig smod byed pa // tsher can 'od ma'i 'bras bu ltar //	78.8167864782448
Palam kaNwaka veNuH vA Palati Atma vaDAya saH kalyANikAm eva muQcet na tu muQceta gbm  pApikAm muktvA kalyANikAm SreyaH muktvA tapati pApikAn saced muQcet pratimuQcet muQcamAnaH hi vaDyate	de ni 'bras bu rlag par byed // dge bar 'gyur ba brjod bya ste // sdig pa can dag mi brjod do // dge ba smras na legs par 'gyur // sdig pa smras na sreg 'gyur bas // gal te smra na dge ba smra'i // sdig pa smras na rlag par 'gyur //	61.8777975659371
na tAm AryAH vimuQcanti bAlAH muQcanti pApikAn aDI gbm  x x  kRtvA iha karma durgati gAmikaH	byis pa rnams ni sdig smra ste // 'phags pa rnams ni ma yin no // 'dir ni ngan 'gror 'gro ba yi // las ni shas cher byas pas na // las de dag gis mnar med pa'i //	80.81031122707184
avIcO upapadyante narake tena karmaNA	dmyal ba dag tu skye bar 'gyur //	76.17945174014929
ApH  brahmakAyikAnAm BikzavaH devAnAm arDa kalpaH AyuzaH pramANam gbm	dge slong dag / tshangs ris kyi lha rnams kyi tshe'i tshad ni bskal pa phyed de /	85.76448769606658
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  brahma purohitAnAm BikzavaH devAnAm kalpaH AyuzaH pramANam	dge slong dag / tshangs pa'i mdun na 'don gyi lha rnams kyi tshe'i tshad ni bskal pa'i bzhi cha gsum thub ste /	90.18482548816198
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag /	68.91078914480006
Aps  mahA brahmANAm BikzavaH devAnAm aDyarDa kalpa adDi arDa kalpa AyuzaH pramANam	tshangs chen gyi lha rnams kyi tshe'i tshad ni bskal pa gcig thub ste /	78.8702536970226
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  parItta ABAnAm BikzavaH devAnAm dvO kalpO AyuzaH pramANam asti antareNa kAla kriyA	dge slong dag / 'od chung gi lha rnams kyi tshe'i tshad ni bskal pa gnyis thub ste / bar ma dor 'chi ba ni yod do // dge slong dag /	87.08318598621831
ApH  apramANa ABAnAm BikzavaH devAnAm gbm catvAraH kalpAH AyuzaH pramANam	tshad med 'od kyi lha rnams kyi tshe'i tshad ni bskal pa bzhi thub ste /	78.94613009230767
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  ABAsvarANAm BikzavaH devAnAm azwO kalpAH AyuzaH pramANam	dge slong dag / 'od gsal gyi lha rnams kyi tshe'i tshad ni bskal pa brgyad thub ste /	88.49714367868084
asti antareNa kAla kriyA ApH  parItta aSuBAnAm gbm	bar ma dor 'chi ba ni yod do //	62.73367631050848
BikzavaH devAnAm zoxaSa kalpAH AyuzaH pramANam	dge slong @222b dag ;dge chung gi lha rnams kyi tshe'i tshad ni bskal pa bcu drug thub ste /	80.34912028141152
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  apraMANa SuBAnAm BikzavaH devAnAm dvAtriMSat kalpAH AyuzaH pramANam	dge slong dag / tshad med dge ba'i lha rnams kyi tshe'i tshad ni bskal pa sum cu rtsa gnyis thub ste /	88.47949045936689
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag /	68.91078914480006
ApH  gbm  SuBa kRtsnAnAm BikzavaH devAnAm catuHzazwiH kalpAH AyuzaH pramANam	dge rgyas kyi lha rnams kyi tshe'i tshad ni bskal pa drug cu rtsa bzhi thub ste /	73.88520464575295
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  anaBrakANAm BikzavaH devAnAm paMcaviMSati aDikam kalpa Satam AyuzaH pramANam asti gbm antareNa kAla kriyA	dge slong dag / sprin med kyi lha rnams kyi tshe'i tshad ni bskal pa brgya nyi shu rtsa lnga thub ste / bar ma dor 'chi ba ni yod do //	83.11184270276051
ApH  puNya prasavAnAm BikzavaH devAnAm arDa tritIyAni kalpa SatAni AyuzaH pramANam	dge slong dag / bsod nams skyes kyi lha rnams kyi tshe'i tshad ni bskal pa nyis brgya rtsa lnga bcu thub ste /	89.35819270696027
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag /	68.91078914480006
ApH  bRhat PalAnAm BikzavaH devAnAm gbm paMca kalpa SatAni AyuzaH pramANam	'bras bu che ba'i lha rnams kyi tshe'i tshad ni bskal pa lnga brgya thub ste /	82.07569400669978
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag /	68.91078914480006
ApH  taTA eva asaMjQA satvAnAm paMca kalpa SatAni AyuzaH pramANam	'du shes med pa'i sems can dang / mi che ba'i lha rnams kyi tshe'i tshad ni bskal pa stong thub ste /	84.50604920284339
asti antareNa kAla kriyA ApH  abRhAnAm gbm	bar ma dor 'chi ba ni yod do // dge slong dag /	67.87951219842789
BikzavaH devAnAm kalpa sahasram AyuzaH pramANam	mi gdung ba'i lha rnams kyi tshe'i tshad ni bskal pa nyis stong thub ste /	89.1944255203776
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  atapAnAm BikzavaH devAnAm dve kalpa sahasre AyuzaH pramANam	dge slong dag / shin tu mthong gi lha rnams kyi tshe'i tshad ni bskal pa bzhi stong thub ste /	89.44171707075168
asti antareNa gbm  kAla kriyA	bar ma dor 'chi ba ni yod do //	67.85486616626862
ApH  sudRSAnAm BikzavaH devAnAm catvAri kalpa sahasrANi AyuzaH pramANam	dge slong dag / gya nom snang gi lha rnams kyi tshe'i tshad ni bskal pa brgyad stong thub ste /	89.32740558088994
asti antareNa kAla kriyA ApH  sudarSanAnAm BikzavaH devAnAm azwO kalpa sahasrANi AyuzaH gbm pramANam asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	11.449461962180486
ApH  akanizWAnAm BikzavaH devAnAm zoxaSa kalpa sahasrANi AyuzaH pramANam	dge slong dag / 'og min gyi lha rnams kyi tshe'i tshad ni bskal pa khri drug stong thub ste / bar ma dor @223a *//	91.51480011725722
asti antareNa kAla kriyA	'chi ba ni yod do //	59.389013290405266
ApH  AkASa Anantya Ayatana upagAnAm BikzavaH devAnAm viMSatiH kalpa sahasrANi AyuzaH pramANam	dge slong dag / nam mkha' mtha' yas skye mched du nye bar 'gro ba'i lha rnams kyi tshe'i tshad ni bskal pa nyi khri ste /	89.01489726166581
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  vijQAna Ananti AyatanAnAm BikzavaH devAnAm catvAriMSat kalpa sahasrANi AyuzaH pramANam	dge slong dag / rnam shes mtha' yas skye mched du nye bar 'gro ba'i lha rnams kyi tshe'i tshad ni bskal pa bzhi khri ste /	89.83454892360798
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  AkiMcanya AyatanAnAm BikzavaH devAnAm zazwiH kalpa sahasrANi AyuzaH pramANam	dge slong dag / ci yang med pa'i skye mched du nye bar 'gro ba'i lha rnams kyi tshe'i tshad ni bskal pa drug khri ste /	91.13248256036167
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  na eva saMjQAna asaMjQA yatanAnAm BikzavaH devAnAm aSItiH kalpa sahasrANi AyuzaH pramANam	dge slong dag / 'du shes med 'du shes med min skye mched du nye bar 'gro ba'i lha rnams kyi tshe'i tshad ni bskal pa brgyad khri ste /	91.8102619895736
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do // dge slong dag / de ltar dmyal ba chen po mnar med pa nas 'du shes med 'du shes med min skye mched kyi bar de dag ni / dge slong dag / srid pa'i rtse mo dang / de dag ni srid pa'i rtse mo yin no // de dag ni srid pa 'byung ba yin te / de dag ni 'gro ba lnga'i sems can rnams 'ong ba dang / 'gro ba dang / gnas pa dang / 'chi ba dang / skye bar snang ngo // srid pa'i 'byung bas chog shes par gyis shig / nga ni srid pa mngon par sgrub pa chung du la'ang tha na de'i skad cig tsam yang bsngags pa mi mdzad do // de ci'i phyir zhe na / srid pa mngon par sgrub pa ni sdug bsngal yin pa'i phyir te / dper na / mi gtsang ba ni nyung du'ang @223b mi zhim na mang po lta ci smos / de ltar de bzhin du nga ni srid pa mngon par sgrub pa chung du la'ang tha na de'i skad cig tsam yang bsngags pa mi mdzad do // de ci'i phyir zhe na / dge slong dag / srid pa mngon par sgrub pa ni sdug bsngal yin pa'i phyir ro // so so'i skye bo byis pa thos pa dang mi ldan pa de dag ni 'gro ba lnga po'i 'khro ba gang du yang dang / yang du dmyal ba rnams dang / yang dang; yang du dud 'gro rnams dang / yang dang / yang du ngan song ngan 'gro log par ltung ba rnams su kun tu rgyug / kun tu rab tu rgyug go / dge slong dag / de lta bas na de'i phyir 'di ltar bslab par bya ste / srid pa rgyun chad par bya ba gang yin pa la brtson par bya zhing sred pa mngon par mi bsgrub par bya'o // dge slong dag / khyed kyis de ltar bslab par bya'o // bcom ldan 'das kyis de skad ces bka' stsal nas / dge slong de dag yi rangs te / bcom ldan 'das kyis gsungs pa la mngon par bstod do // tshe'i mtha'i mdo rdzogs so //// rgya gar gyi mkhan po bi shuddha sidha dang / lotstsha ba bande dge ba'i dpal gyis bsgyur /	91.8102619895736

