	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
punar katame	de dag kyang gang zhe na /	85.46868614050058
kAmaCandaH kAma= CandaH vyApAdaH stya Ananam midDOdDatyam kOkRtyam vicikitsA aSuBa tA pratiGa nimittam anDakAraH jQAti jana pada amara vitarka pOrANasya ca hasita krIxita rasita parivAritasya anusmRtiH trayaH ca aDvAnaH tri aDva gatA ca ayoniSaH Darma cintA	'dod pa la 'dun pa dang / gnod sems dang / rmugs pa dang gnyid dang / 'gyod pa dang / rgod pa dang / the tshom dang / sdug pa nyid dang / khong khro ba'i rgyu dang / mun pa dang / nye du dang / ljongs dang / mi 'chi ba'i rnam par rtog pa dang / sngon bgad pa dang / rtses pa dang / dga' ba dang / dga' mgur spyad pa rjes su dran pa dang / dus gsum dang / dus gsum du gtogs pa'i tshul bzhin ma yin pa'i chos rnams la sems pa gang yin pa'o //	83.0206044601811
eByaH kaTam caMkramaNa cittam pariSoDayati	ji ltar na 'chags pas de dag la sems yongs su sbyong bar byed cing /	91.2818533470199
katiByaH ca pariSoDayati	ji snyed cig las yongs su sbyor bar byed pa yin zhe na /	78.70585073743548
styAnam idDAt syAnam idDa AhArakAt ca AvaraNAt pariSoDayati	rmugs pa dang / gnyid dang / rmugs pa dang gnyid 'dren par byed pa'i sgrib pa las yongs su spyong par byed do //	88.84768587195127
Aloka nimittam anena sADu ca suzWu ca	des snang ba'i mtshan ma legs par shin tu rab tu bzung zhing /	67.37455126547044
su gRhItam Bavati sumanasikRtam	legs par @39b yid la byas /	64.01091821105392
su ja juzwam	legs par bsten /	66.58786392211914
su pratividDam	legs par so sor brtags te /	60.712508908024546
saH Aloka saha gatena su praBAsa saha gatena cittena Canne vA	de snang ba dang ldan pa dang / de 'od dang ldan pa'i sems kyis g-yogs pa'am / bla gab med pa'i 'chags na 'chags pa'i tshe 'di lta ste / sangs rgyas rjes su dran pa'am / chos sam / dge 'dun nam / tshul khrims sam /	67.54285582883493
aByavakASe vA caMkrame caMkramyamANaH caMkramamANaH	gtong ba'am / lha rjes su dran par gyur nas /	55.978293100992836
anyatama anyatamena prasadanIyena Alambanena cittam saMdarSayati	dang bar gyur pa'i dmigs pa gang yang rung bas sems yang dag par ston /	84.8224685623387
samuttejayati	yang dag par 'dzin du gzhug / yang dag par gzengs pa stod /	59.77199978343511
saMpraharzayati yat uta budDa anusmRtyA vA Darma saMGa SIla tyAga devatA anusmRtyA vA	yang dag par rab tu dga' bar byed pa'am /	55.183167035230916
kAye vA punar anena styAnam idDa AdInava pratisaMyuktAH DarmAH SrutAH Bavantyat gRhItAH DRtAH	nges gnyid dang rmugs par 'gyur ba'i nyes dmigs ston pa'i chos 'di lta ste /	78.499885832099
tat yaTA sUtram gUge yam vyAkaraNam gATA udAna nidAna avadAna iti vRttaka jAtaka vEpulya adButa Darma upadeSA yezu styAnam idDamam aneka paryAyeNa vigarhitam vijugupsitam	mdo'i sde dang / dbyangs kyis bsnyad ba'i sde dang / lung du bstan pa'i sde dang / tshigs su bcad pa'i sde dang / ched du brjod pa'i sde dang / gleng gzhi'i sde dang / rtogs pa brjod pa'i sde dang ; de lta bu byung ba'i sde dang / skyes pa'i rabs kyi sde dang / shin tu rgyas pa'i sde dang / rmad du byung ba'i chos kyi sde dang / gtan la dbab par bstan pa'i sde gang dag thos shing bzung la bstan par byas pa la de dag las rnam grangs du mar rmugs pa dang / gnyid rnam par smad cing /	62.48919938698464
styAnam idDa prahANam punar stutam varNitam praSastam tAn tezAm vistareNa svareNa svADyAyam karoti	rnam par skyon du bgrang ba dang / rmugs pa dang gnyid spong ba bstod cing bsngags pa de dag rgya cher dbyangs kyis kha ton byed pa'am / gzhan dag la yang dag par ston tam /	82.37287338787685
parezAm vA SBsh prakASayati arTam vA cintayati tulayati upaparIkzate	don sems shing 'jal la rnam par rtog par byed pa'am /	77.50629446931652
diSaH vA vyavalokayati	phyogs su rnam par lta ba'am /	87.1541010538737
catur nakzatra graha tArAsu vA dRzwim DArayati udakena muKam Akledayati	zla ba dang / rgyu skar dang / gza' dang / skar ma dag la lta ba gtod par byed pa'am / chus gdong 'khru bar byed na /	89.10539243618825
evam asya tad styAnam idDa paryavasTAnam anutpannam ca na utpadyate	des de'i rmugs pa dang / gnyid kyis kun nas dkris pa ma skyes pa de ni mi skyed la / skyes pa ni sangs par 'gyur te /	94.51565280559684
utpannam ca prativigacCati evam anena tasmAt AvaraNIyAt DarmAt cittam pariSoDitam Bavati	de ltar na des sgrib par 'gyur ba'i chos de las yongs su spyod par byed pa yin no //	83.10539249132741
tatra nizadyayA katameByaH AvaraNIyeByaH DarmeByaH cittam pariSoDayati	de la sdug pas sgrib par 'gyur ba'i chos gang dag la sems yongs su sbyong bar byed cing / ji ltar yongs su sbyong bar byed ce na /	90.1521482525877
kAma= CandAt vyApAdAt OdDatya kOkRtyAt vicikitsAyAH tad AhArakeByaH ca DarmeByaH	smras pa sgrib par 'gyur ba'i chos bzhi po 'dod pa la 'dun pa dang / @40a * // gnod sems dang / rgod pa dang / 'gyod pa dang / the tshom dag dang de dag 'dren par byed pa'i chos rnams las yongs su sbyong bar byed do //	84.95666637896998
saH utpanne vA kAma= Canda paryavasTAne prativinodanAya an utpanne vA dUrIkaraNAya	'dod pa la 'dun pa'i kun nas dkris ba skyes pa gsal bar bya ba dang / ma skyes pa thag ring du byas pa'i phyir skyil mo krung bcas te / lus drang por bsrangs nas dran pa phyogs par ba zhag ste /	74.23384539329423
nizadya	'dug nas rnam par bsngos pa'am / rnam par rnags pa'am /	34.16685309193351
paryaFkam ABujya	rnam par 'bus gzhigs pa'am /	55.82275448526654
Rjum kAyam praNiDAya pratimuKAm KIm smRtim upasTApya	rnam par bam pa'am / rnam par zos pa'am /	49.38985664088552
vinIlakam vA	rnam par dmar pa'am /	81.50377927507672
vipUyakam vA vimaBa drAma tma	rnam par 'thor ba'am /	61.782472437078304
kamvA vyADmAtakam vA	rus god dam /	59.46472171636727
viKAditakamvA	keng rus sam /	62.16521630968366
vilohita kamvA asTim asTi vA SaMkalikAm vA	rus pa'i keng rus sam /	72.63763802984487
anyatama anyatamam vA Badrakam samADi nimittam manasi karoti	ting de 'dzin bzang po'i mtshan ma gang yang rung ba dag yid la byed pa'am /	81.57918225840673
ye vA DarmAH kAma rAga prahANam eva AraBya kAma rAga prahANAya udgRhItAH Bavanti DRtA vacasA parijitA manasA anvIkzitAH dRzwyA su pratividDAH	des 'dod pa la 'dod chags spang ba'am / 'dod pa la 'dun pa spang bar bya ba'i phyir /	43.69284414927975
tat yaTA sUtram	'di lta ste /	77.51469817528358
geyam vyAkaraNam iti vistareNa pUrvavat	mdo'i sde dang / dbyangs kyis bsnyad pa'i sde dang / lung du bstan pa'i sde dang / rgyas par snga ma bzhin du chos gang dag thos shing bzung la bstan par byas pa'am // kha ton bya ba'am /	59.49835196435631
ye aneka paryAyeNa kAma rAgam	yid kyis brtags pa dang / mthong bas shin tu rtogs par byed pa de dag las rnam grangs du mar 'dod pa la 'dod chags dang /	58.07871384219626
kAma= Candam SBsh kAma Alayam kAma niyantim kAma aDyavasAnam vigarhanti vivarNayanti vijugupsayanti kAma rAga prahANam aneka paryAyeNa stuvanti varNayanti praSansaSaMsayanti	'dod pa la 'dun pa dang / 'dod pa la zhen pa dang / 'dod pa la 'chums pa dang / 'dod pa la lhag par zhen pa la rnam par smad pa dang / rnam par mi snyan par brjod pa dang / rnam par skyon du bgrang ba dang / 'dod pa la 'dod chags dang / 'dod pa la 'dun pa spong ba rnam grangs du mar bstod pa dang / bsngags pa dang rab tu bsngags pa'i chos de dag de ltar 'du gnas tshul bzhin du yid la byed pa yin te /	64.47616912565424
tAm tAn DarmAn= taTA nizaNNaH ayoniSaH manasi karoti evam asya anutpannam ca kAma= Canda paryavasTAnam na utpadyate	de ltar na de 'dod pa la 'dun pa'i kun nas dkris pa ma skyes pa pa yin te /	60.66197986730562
utpannam ca kAma= Canda paryavasTAnam prativigacCati	mi skyed cing / 'dod pa la 'dun pa'i kun nas dkris pa skyes pa dang bral bar 'gyur ro //	92.11087704770603
tatra vyApAde ayam viSezaH	de la gnod sems la khyad par 'di yod de /	89.6056887231222
taTA nizaNNaH mEtrI sahagatena cittena avEreNa asaMpaTena avyAbADena	de ltar 'dug nas byams pa dang ldan pa'i sems kho na med la / 'gran zla med pa / gnod pa med pa /	81.20067814149976
vipulena	yangs pa / rgya chen por gyur pa / mi gnyis pa / tshad @40b med pa /	45.237851451424994
mahat gatena apramANena su BAvitena ekAm diSam aDimucya smAritvA upa smRtvA upa sampadya viharati taTA dvitIyAm	shin tu bsgoms pas phyogs su mos te /	49.53163525684053
taTA tRtIyAm taTA caturTIm iti UrDvam aDas tiryak sarvam anantam lokam smAritvA smRtvA upasampadya viharati	khyab par byas nas bsgrubs te gnas pa dang / de bzhin du gnyis pa dang / de bzhin du gsum pa dang / de bzhin du bzhi pa dang / bla dang / 'og dang / thad kar mtha' yas pa'i 'jig rten thams cad khyab par byas nas bsgrubs te gnas pa yin te /	87.29612101783424
Sezam pUrvavat	lhag ma ni snga ma bzhin no //	89.65924255053203
tatra OdDatya kOkRtye viSezaH	de la rgod pa dang 'gyod pa la ni khyad par 'di yod de /	94.54789849690029
tat yaTA nizaNNe aDyAtmam eva cittam sTApayati saMsTApayati	de ltar 'dug nas sems nang kho nar yang dag par 'jog par byed cing /	87.4576652701467
samvizodayati saMviSoDayati ekotIkaroti samADatte	sgrub par byed la rgyud gcig tu byed cing ting nge 'dzin du byed pa yin te /	85.6025942635704
Sezam pUrvavat	lhag ma ni snga ma bzhin no //	89.65924255053203
tatra vicikitsA nivaraNe viSezaH taTA sannizaNNaH	de la the tshom gyi sgrib pa la ni khyab par 'di yod de /	81.46936440103953
atItam aDvAnam na ayoniSas manasikaroti	de ltar 'dug nas ci bdag 'das pa'i dus su byung bar gyur tam /	81.17378278998191
anAgatam pratyutpannam aDvAnam na ayoniSas manasikaroti kim nu aham aBUvam atIte aDvani konu aham aBUvam	'on te bdag 'das pa'i dus su ma byung bar gyur pa zhig yin //	73.37047891283702
Ahosvit na aham atIte aDvani kaH nu aham aBUvam	bdag 'das pa'i dus su ci 'dra bar 'gyur / ji lta bur gyur pa zhig yin /	88.56203206846503
kaTam SBsh  nu aham aBUva m adItIte Dvani	bdag ma 'ongs pa'i dus na /	67.40219975400854
kaH nu aham BavizyAmi	ci zhig tu 'gyur /	57.95889552434286
anAgate aDvani kaTam BavizyAmi anAgate aDvani	ma 'ongs pa'i dus na ji lta bu zhig tu 'gyur /	80.99230270800383
ke santaH ke BavizyAmaH	ci zhig yod /	47.11979796336247
ayam satva sattvaH	cir 'gyur /	26.417093526233327
kutas AgataH	sems can 'di ga las 'ongs /	73.61214807298448
itas cyutaH kutra gAmI Bavizyati	'di nas shi 'phos nas ni gang du 'gro bar 'gyur zhes / 'das pa'i dus la tshul bzhin nam yin pa yid la byed cing / ma 'ongs pa dang da ltar byung ba'i dus la yang tshul bzhin ma yin pa yid la mi byed de /	70.27648265074312
saH iti evam rUpam ayoni Somana sikAram varjayitvA yoniSas manasi karoti atItam aDvAnam anAtIga tam pratyutpannam api aDvAnam	de de ltar 'das pa'i dus dang / ma 'ongs pa'i dus dang / da ltar byung ba'i dus la tshul bzhin ma yin pa yid la byed pa spangs shing tshul bzhin yid la byed do //	85.12476580550678
sa Darma mAtram paSyati vastu mAtram sat ca sataH	des chos tsam dang / dngos po tsam dang / rgyu tsam dang / 'bras bu tsam dang / yod pa'ang yod par /	85.06507978501348
asat cAsataH hetu mAtram Pala mAtram	med pa yang med par mthong zhing /	66.0679331667283
na asat BUtam samAropam karoti	dngos po med pa la yang sgro 'dogs par mi byed la /	86.13559066548066
na sat vastu nASayati apacavadati BUtam BUtataH jAnAti yat uta aniti ataH vA duHKataH vA	dngos po yod pa la yang skur pa 'debs par mi byed cing / 'jigs par mi byed de / 'di lta ste /	77.14094857678337
SUnyataH vA anAtmataH vA anityezu duHKezu SUnyezu	mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa'i chos yang dag bdag kyang mi rtag pa dang / sdug bsngal ba dang / stong pa dang / bdag med pa yang dag pa'i sgo nas rab tu shes so //	66.34072646147806
anAtmasu Darmezu saH evam yoniSas manasi kurvan	de de ltar tshul @41a * // bzhin yid la byed pa na /	82.08228197464577
budDe api nizkAFkzaH Bavati nirvicikitsaH Darme saMGe duHKe samudaye niroDe	sangs rgyas la yang ne ma nur med cing the tshom med la /	67.91170276949575
mArge hetO hetu samutpannezu Darmezu nizkAFkzaH Bavati	chos dang / dge 'dun dang / sdug bsngal dang / kun 'byung ba dang / 'gog pa dang / lam dang / rgyu dang / rgyus bskyed pa'i chos rnams la yang ne ma nur med cing /	80.64801163363188
nirvicikitsaH	the tshom med pa yin te /	86.23563213348389
Sezam pUrvavat	lhag ma ni snga ma bzhin no //	89.65924255053203
tatra vyApAde vaktavyam yaH anena pratiGam pratiGa nimittam ca AraBya	de la gnod sems la yang des khong khro ba dang / khong khro ba'i rgyu las brtsams te /	90.92084431925412
tasya ca prahANAya	de dag spang bar bya ba'i phyir /	86.13604255156083
DarmAH udgRhItA iti vistaraH	chos gang dag thos shing bzung la zhes bya ba rgyas par snga ma bzhin du brjod par bya'o //	76.9641532289835
OdDatya kOkRtye vaktavyam anena OdDatya kOkRtyam AraBya SBsh	rgod pa dang / 'gyod pa la yang des rgod pa dang / 'gyod pa las brtsams te /	89.13435708598242
tasya ca prahANAya DarmAH udgRhItA iti vistareNa pUrvavat vicikitsAyAm vaktavyam	de spang bar bya ba'i phyir chos gang dag thos shing bzung la zhes bya ba rgyas par snga ma bzhin du brjod par bya'o //	91.41965969930433
ye anena vicikitsAm AraBya tasyAH ca prahANAya DarmAH udgRhItA iti vistareNa pUrvavat iti anena kAma CacCa	the tshom la yang des the tshom las brtsams te / de spang bar bya ba'i phyir chos gang dag thos shing bzung la zhes bya ba rgyas par snga ma bzhin du brjod par bya ste / lhag ma ni snga ma bzhin no //	88.38571106230859
nda nivaraNAt vyApAda styAnam idDa OdDatya kOkRtya vicikitsA nivaraNAt cittam viSoDitam Bavati	de ltar na nges 'dod pa la 'dun pa dang / gnod sems dang / rmugs pa dang / gnyid dang / rgod pa dang / 'gyod pa dang / the tshom gyi sgrib pa rnams dang / de dag 'dren par byed pa'i sgrib par 'gyur ba'i chos rnams las / sems yongs su sbyong bar byed pa yin te /	80.39199248751788
tad AhArakeByaH ca DarmeByaH AvaraNIyeByaH tena Aha caMkrama nizadyAByAm AvaraNIyeByaH DarmeByaH cittam pariSoDayati	de'i phyir chags pa dang / 'dug pa dag gis sgrib par 'gyur ba'i chos rnams las / sems yongs su sbyong bar byed cing zhes bya ba gsungs so //	86.69674157448944
yA ca ezA Darma aDipateyAH AvaraNIyeByaH DarmeByaH cittasya pariSoDanA	de yang chos kyi dbang du byas te sgrib par 'gyur ba'i chos rnams las sems yongs su sbyong bar byed pa de bstan pa yin no //	91.08228703058509
asti punar Atma aDipateyA	bdag gi dbang du byas pa dang / 'jig rten gyi dbang du byas nas /	64.11984311617339
loka aDipateyA ca AvaraNIyeByaH DarmeByaH citta pariSoDanA	sgrib par 'gyur ba'i chos rnams las sems yongs su sbyong bar byed pa yang yod do //	87.5822586966132
Atma aDipateyA katamA	de la bdag gi dbang du byas pa gang zhe na / 'di lta ste /	75.76369025789458
yaTA api tad utpanne anyatama anyatam asmin nivaraNe AtmataH eva pratirUpa tAm viditvA	sgrib pa gang yang rung ba zhig skyes par gyur na /	62.842990866241024
utpannam nivaraNam na aDivAsayate ti	skyes ma thag tu sgrib pa de skyes pa des / sems nye bar nyon mongs par byed pa dang / shes rab nyam chung bar byed pa dang / dge ba'i phyogs la gnod par byed @41b pas bdag gis tshul dang mthun pa ma yin par rig nas / ngo tsha bar byed cing sgrib pa skyes pa de dang du mi len par spong bar byed /	50.75081439338744
prajahAti vinodayati	sel bar byed /	69.53182111467633
vyantIkaroti tena nivaraNena AtmAnam na jQAyamAnaH cetasaH upakleSa kareNa prajQA dOrbalya kareNa	byang bar byed pa ste /	25.24715666476626
viGAta pakzyeNa evam asO= AtmAnam eva aDipatim kRtvA AvaraNIyeByaH DarmeByaH cittam pariSoDayati	de ltar na de bdag gi dbang du byas nas / sgrib par 'gyur ba'i chos rnams las sems yongs su sbyong bar byed pa yin no //	86.35500320980599
kaTam lokam aDipatim kRtvA AvaraNIyeByaH DarmeByaH cittam pariSoDayati iha asyA sya nivaraNe SBsh samutpanne utpatti kAle vA pratyupasTite evam Bavati aham ced anutpannam nivaraNam utpAdayeyam SAstA me apavadet devatAH api vijQAH api sabrahmacAriNaH aDarma tayA vigarhayeyuH iti sa lokam eva aDipatim kRtvA AvaraNIyeByaH DarmeByaH cittam pariSoDayati	ji ltar na 'jig rten gyi dbang du byas nas / sgrib par 'gyur ba'i chos rnams las sems yongs su sbyong bar byed pa yin zhe na /	10.0
iha asya nivaraNe samutpanne	'di la de'i sgrib pa skyes pa'am /	74.67015908746158
utpatti kAle vA pratyupasTite	skye ba'i dus nye bar gnas par gyur pa na /	88.24724733552267
evam Bavati aham ced anutpannam nivaraNam utpAdayeyam	'di snyam du sems te / gal te bdag gi sgrib pa ma skyes pa skyes par gyur na /	89.79054572330129
SAstA me apavadet devatAH api vijQAH api sabrahmacAriNaH aDarma tayA vigarhayeyuH iti	bdag ston pas smad par 'gyur zhing lha rnams dang tshangs pa mtshungs par spyod pa mkhas pa rnams kyis kyang chos nyid kyis rnam par smad par 'gyur ro snyam nas /	86.28563134152502
sa lokam eva aDipatim kRtvA	'jig rten kho na'i dbang du byas nas /	72.81811006445633
anutpannam ca nivaraNam na utpAdayati utpannam ca prajahAti	sgrib pa ma skyes pa mi skyed cing skyes pa spong bar byed pa ste /	89.91735517834658
evam lokam aDipatim kRtvA AvaraNIyeByaH DarmeByaH cittam pariSoDayati	de ltar na 'jig rten gyi dbang du byas nas / sgrib par 'gyur ba'i chos rnams pas sems yongs su sbyong bar byed pa yin no // de ltar mtshan mo'i thun dang po la yang 'chags pa dang / 'dug pa dag gis sgrib par 'gyur ba'i chos rnams las sems yongs su sbyong ba'i bar du byed cing / sgrib par 'gyur ba'i chos rnams las /	70.71034273966444
Sayana Asana pratigupti arTam punar loka AcAraQca anuvRttaH Bavizyati iti yAvat rAtryAH praTame yAme caMkrama nizadyAByAm AvaraNIyeByaH DarmeBypariSoDayati	sems yongs su sbyangs nas / gnas mal rim gro bya ba dang / 'jig rten gyi cho ga rjes su mthun par bya ba'i phyir / de'i 'og tu gtsug lag khang nas phyir phyung ste /	74.8825191598993
AvaraNIyeByaH DarmeByaH cittam pariSoDya bahis vihArasya pAdO prakzAlayati	gtsug lag khang gi phyi rol du rkang pa 'khru zhing /	73.52114296322371
prakzAlya vihAram praviSya	bkrus nas gtsug lag khang gi nang du zhugs te /	86.86327547215402
SayyAm kalpayati yAvat eva svasyaH yO pacayikAnAm mahABUtAnAm upacayAya	'di ltar gnyid kyis brta bar bya ba'i 'byung ba chen po rnams brta bar bya ba'i phyir nyal bar byed do //	81.7867015690371
upacitaH ayam kAyaH karmaNi ataraH ca Bavizyati anukUlataraH ca sAtatyena eka pakzye kuSala pakza prayoge	lus de brtas na dge ba'i phyogs kyi sbyor ba rgyun tu chud par bya ba dang byed do // / rtag 'grus su byas la shin tu las su rung zhing / shin tu phan par yang 'gyur ro //	89.63421769170206
kena kAraNena pArSvena SayyAm kalpayati	ci'i phyir glo g-yas pas phab ste nyal bar byed ce na /	86.46055355938998
SBsh  siMhasya prANinaH sADarmyeNa	srog chags seng ge dang chos mthun par bya ba'i phyir te /	86.6114795947897
kim punar atra sADarmyam	'dir ni ji star chos mthun pa yin zhe na /	90.77708183016095
siMhaH prANam prANI sarvezAm tiryagyoni gatAnAm prANinAm vikrAnta utsAhI	srog chags seng ge ni dud 'gro'i skye gnas su skyes pa'i srog chags thams cad kyi nang na @42a * // rtsa la che ba dang / gzengs mtho ba dang / brtan pas pha rol gnon pa bzhin du /	84.21225156259568
dRXa parAkramaH BikzuH api jAgarikA anuyuktaH ArabDa vIryaH viharati	dge slong mi nyal bar sbyor ba'i rjes su brtson pa brtson 'grus brtsams shing gnas pa yang /	83.53743340338015
vikrAntaH utsAhI dRXa parAkramaH	rtsa la che ba dang / gzengs mtho ba dang / brtan pas pha rol gnon pa yin pas /	83.75338518213108
atas tasya siMhopamA eva SayyA pratirUpA Bavat iti no tu preta SayyA deva SayyA	de'i phyir seng ge bzhin du nyal ba ni de'i tshul dang mthun pa yin gyi /	78.81973736127318
na kAma Boga SayyA	yi dags kyi nyal stangs dang / lha'i nyal stangs dang / 'dod pa la longs spyod pa dag gi nyal stangs ni de lta ma yin gyi /	82.05825215779744
taTA hi te sarve eva kusIdA hIna vIryA cama nda bala parAkramAH	'di ltar de dag thams cad ni le lo can dang / brtson 'grus zhan pa ; stobs dang / pha rol gnon pa chung ba ma yin pa'i phyir ro //	84.91719622881543
api tu DarmatA ezA yat dakziNena pArSvena siMha upamAm SayyAm kalpayataH na taTA gAtrANAm vikzepaH Bavati na ca SayAnasya smRti saMpramozaH Bavati na ca gAXam svapiti	gcig tu na glo g-yas pas seng ge bzhin du nyal ba gang yin pa de ni chos nyid kyis 'di ltar lus dag lhod par mi 'gyur zhing gnyid log nas yang dran pa brjed par mi 'gyur ba dang /	73.96100281919875
pApakAn= ca svapnAm pnAt na paSyati	gnyid stug por mi 'gyur ba dang ; rmi lam na sdig pa rmi bar mi 'gyur ba yin gyi /	72.9808751052959
anyaTA tu SayyAm kalpayataH viparyayeNa sarve dozAH veditavyAH	de lta ma yin par nyal na ni de las bzlog pa'i nyes pa thams cad 'byung bar rig par bya ste /	88.30449590006982
tena Aha dakziNena pArSvena SayyAm kalpayati	de'i phyir glo g-yas pas phab nas rkang pa rkang pa'i steng du bzhag ste / nyal bar byed do zhes gsungs so // ji ltar na snang ba'i 'du shes kyis nyal bar byed pa yin zhe na /	80.52993915356677
Aloka nimittam anena su udgRhItam Bavati sumanasikRtam	des snang ba'i mtshan ma legs par shin tu bzung zhing legs par yid la byas /	86.72286229258137
su juzwam su pratividDam	legs par bsten / legs par so sor brtags te /	85.07550902800126
yat eva manasi kurvan sa praBA saha gatena cittena SayyAm kalpayati	de de nyid yid la byed bzhin du de 'od dang ldan pa'i sems kyis nyal bar byed cing /	86.57815423111474
suptasya api ca asya yena na Bavati cetasaH	des na de gnyid log na yang sems la mun pa nyid du mi 'gyur te /	82.40974482630885
anDaka ArAyita tvam evam Aloka saMjQI SayyAm kalpayati	de ltar na snang pa'i 'du shes kyis nyal bar byed pa yin no //	85.17675897835464
kaTam smRtaH SayyAm kalpayati	ji ltar na dran pas nyal bar byed pa yin zhe na /	93.60872097891205
ye ye anena DarmAH SrutAH Bavanti cintitA BAvitA vA SBsh kuSalAH arTa upasaMhitAH tad anvayA asya smRtiH yAvat svapana kAla anuvarttinI Bavati	des chos dge ba don dang ldan pa gang dag mnyan pa dang bsams pa dang / bsgoms pa'i rgyu las byung ba'i dran pa nyal ka'i bar du rjes su 'brang bar 'gyur zhing /	75.92009780455969
yaTA asya suptasya api te eva DarmAH jAgrataH vE aBilapanti	des na de gnyid kyis log na yang chos de dag gnyid ma log pa bzhin du mngon par rjod par byed la /	82.85589181398942
tezu eva ca Darmezu tat cittam bahulam anuvicarati	chos de dag nyid la sems de lan mang du rjes su 'jug par byed de par byed la / / de ltar na ji ltar dran pas dge ba'i sems sam /	86.63091330997695
iti yaTAsmRtyA yaTAsmRtaH kuSala citta SayyAm kalpayati avyAkRta cittaH vA	@42b lung du ma bstan pa'i sems dran pa de bzhin du nyal bar byed pa yin te /	78.7299517529621
evam smRtaH SayyAm kalpayati	de ltar na dran pas nyal bar byed pa yin no //	93.88376543832861
kaTam saMprajAnantaH jAnan SayyAm kalpayati	ji ltar na shes bzhin gyis nyal bar byed pa yin zhe na / de ltar na dran par gyur pa ste / gang gi tshe nyal ba na /	87.47242230415002
suptasya asya taTA smRtasya yasmin samaye anyatama anyatamena upakleSena cetasaH saMkleSaH Bavati	nye ba'i nyon mongs pa gang yang rung bas sems kun nas nyon mongs par gyur na /	77.29660299494266
saH utpadyamAnam eva tam saMkleSam samyak eva prajAnAti na aDivAsayati	des kun nas nyon mongs pa skyes pa de nyid legs pa kho nar rab tu shes shing /	85.30759642332528
prajahAti	da dung mi len pa stong par byed /	57.89391885084264
prativiDyati	rtog par byed /	80.90297389030457
pratyudAvarttayati mAnasam	sems phyir zlog par byed de /	84.61930016813606
tena ucyate saMprajAnaMnan SayyAm kalpayati	de'i phyir shes bzhin du nyal bar byed pa zhes bya'o //	89.6956188028509
kaTam utTAna saMjQAm eva manasikurvan SayyAm kalpayati	ji ltar na ldang ba kho na'i 'du shes yid la byed bzhin du nyal bar mi byed cing /	91.67472993959305
sa vIrya saMpragRhItam cittam kRtvA SayyAm kalpayati su pratibudDikayA suharzakta suhRzwa citta	de brtson 'grus kyis yang dag par rab tu zin pa'i sems su byas nas /	63.10428572564237
stat yaTA AraNyakaH mRgaH	myur ba myur ba thums phras kyis nyal bar byed de /	65.87166541230445
no tu sarveNa sarvam vidDam avakramaNa nimnam cittam karoti tad pravaNam na tad prABaH BAram api	'di lta ste dper na dgon pa'i ri dags bzhin du rnam pa thams cad kyis thams cad du gnyid kyis non pa la sems gzhol bar mi byed cing / de la 'bab par mi byed /	80.97865464831081
ca asya evam Bavati	bab par mi byed pa dang / gzhan yang de 'di snyam du sems te /	91.9989855904733
aho bata aham budDa anujQAtAm jAgaritAm kAm sarveNa sarvam sarvaTA sampAdayeyam iti tasyAH ca sampAdana arTam tu ASaMsena rasena prayogeNa Canda gataH viharati aBiyuktaH ca	ae ma ho kye ma bdag gis sangs rgyas kyis rjes su gnang ba'i mi nyal ba rnam pa thams cad kyis thams cad du bsgrub par bya'o snyam nas / des de bsgrub pa'i phyir shin tu 'bad pa chen po dang / mngon par brtson pa'i sbyor bas mthun pa skyed de /	85.57635847498985
api ca asya evam Bavati	gnas par byed pa dang / gzhan yang de 'di snyam du sems te /	87.7998033364614
yaTA aham adya SBsh jAgarikA arTam ArabDa vIryaH vyahArzam kuSala anAQca DarmANAm BAvanAyE dakzaH analasa	ji ltar bdag gis ded mi nyal ba dang dge ba'i chos rnams bsgom pa'i phyir / mkhas shing le lo med la / sgrub phod pas brtson 'grus brtsams te /	85.03664482841829
utTAna sampannaH Svas praBAte nirgatAyAm ca rajanyAm	gnas bzhin du sang nam langs pa'i nang par yang sgrub phod pas /	69.68992674776592
BUyasyAH mAtrayA ArabDa vIryaH viharizyAmi utTAna sampannaH iti	rgya cher brtson 'grus brtsams te gnas par bya'o snyam du sems pa'o //	80.37579583427417
tatra ekayA utTAna saMjQayA gAXam svapiti	de la ldang ba'i 'du shes gcig gis ni gnyid sdug por mi byed de /	82.7556851208235
yena aham yam Saknoti laGu laGu eva utTAna kAle utTAtum na kAla atikrAntam pratibuDyati	des ni de ldang ba'i dus su myur ba myur ba kho nar ldang zhing dus las mi yol bar sad par nus so //	84.67433204432602
